"","Pval","log2FoldChange_BCH_vs_BPFC","BCH_309","BCH_313","BCH_314","BCH_317","BPFC_384","BPFC_385","BPFC_386","BPFC_387"
"ENSMUSG00000022949",0.0700085244888189,0.572536449704625,260.024014153251,307.89585162591,365.057089330264,249.475810662449,216.03909609273,184.977376513661,112.304323536716,281.80008059566
"ENSMUSG00000022965",0.113962760239643,-0.262373401954035,594.989447232766,572.358119166661,657.89421247866,495.639995519645,663.812436284927,674.573460221839,598.956392195821,846.440094482906
"ENSMUSG00000022983",0.0571428571428571,0.212162695040729,793.697754991801,789.52603959246,696.477482082671,758.36230940311,697.972464299589,665.239739388581,690.5730771863,568.799424670946
"ENSMUSG00000023030",0.104906231246013,0.261106785678128,1034.41867639132,1047.23197183107,886.425886287036,890.82734161326,807.838500346747,955.433605295334,843.267552170433,613.513090595718
"ENSMUSG00000023236",0.0996794710239508,-0.210771299814592,3229.2938700954,2659.10053676923,3426.98579252042,2666.96264849769,3337.52706143256,3388.98918254846,3255.84025691972,3884.8896719756
"ENSMUSG00000024014",0.0713155265826525,0.467015522603329,120.360460699758,73.3544975660476,96.9528313126446,101.556524694448,57.2411280245695,80.6094071963204,87.6761824102436,58.231750971797
"ENSMUSG00000024039",0.0707234082687134,0.234202359401633,651.763249449633,656.329715064636,794.419628000547,801.413444871409,631.498896271057,544.749888631976,617.673779451941,674.86439965529
"ENSMUSG00000024130",0.0504928235323715,0.191692388342002,1708.8914467277,1595.46032206154,1525.52312126631,1767.30430473709,1359.01516858333,1608.7940636234,1480.64384452355,1327.89189269616
"ENSMUSG00000024376",0.0634875725588104,0.389016348883839,145.34093367518,153.465330434231,97.9421459178756,137.98440855224,100.633596043195,108.610569696095,84.7208054750668,114.383796551744
"ENSMUSG00000024517",0.054673244401675,-0.333845589262869,151.018313896866,106.170983319279,141.471988548043,147.919285968001,180.955824077671,196.856657574172,146.783721113779,164.296725956142
"ENSMUSG00000024659",0.063318923026544,-0.915701622256389,27.2514250640962,28.9557227234398,25.7221797360077,28.7007569788659,59.0876160253621,48.3656443177922,30.5388949968264,70.7099833228964
"ENSMUSG00000024670",0.109852400811031,-0.655168962299397,21.5740448424095,34.7468672681278,41.5512134197048,33.1162580525375,50.7784200217955,64.4875257570563,65.0182925738885,25.9963173981237
"ENSMUSG00000024750",0.0512635336398236,-0.209211119681958,2386.77064519709,2416.83765664978,2468.33994005151,2094.05138418879,2565.69507710127,2493.80050263143,2713.03602649226,3055.08722062749
"ENSMUSG00000024871",0.130718748938893,-0.47022531884304,450.783989601924,626.408801583749,461.020606037677,376.42146653051,887.237484380827,440.381919314634,655.10855396418,669.665136175666
"ENSMUSG00000024896",0.110005467198639,-0.230816496223003,874.316554139752,853.228629584027,1031.855133256,876.476963123827,1010.95218043393,923.189842416806,1063.93569666363,1268.62028902843
"ENSMUSG00000024940",0.0571428571428571,0.27141826960049,1334.18435209638,1308.79866709948,1080.33154891233,1342.31232639619,1071.88628446008,1071.68085567319,1167.37388939482,885.954496928054
"ENSMUSG00000025083",0.0681915545115186,0.625161743135644,174.86331082795,272.183793600335,163.236909863126,262.722313883464,125.561184053894,173.098095453151,110.334072246599,157.017757084667
"ENSMUSG00000025283",0.0715098404497444,-0.209591151053592,858.419889519029,838.750768222307,934.902301943358,728.557677155826,987.871080424022,929.129482947061,886.613080553025,1082.48665645787
"ENSMUSG00000025348",0.0610409792400009,0.381208548719885,438.293753114213,443.987748426078,306.687527621631,419.472601998809,301.900788129584,324.134668936783,363.51136302674,245.405236238287
"ENSMUSG00000025531",0.0933677585212933,-0.297718798263492,497.338507419755,547.263159473013,594.578077743871,366.486589114749,591.799404254017,615.177054919287,558.566240748406,699.820864357489
"ENSMUSG00000025630",0.086503700773388,-0.231370909929342,1924.63189515179,2026.90059064079,2023.14836769753,1986.97548315225,2214.86235695068,2007.59849922625,2325.8816479841,2798.24360473403
"ENSMUSG00000025927",0.169382026483664,0.856956418884264,98.7864158573486,77.2152605958396,30.6687527621631,152.334787041673,42.469224018229,44.9715640147893,46.3009053177691,64.4708671473467
"ENSMUSG00000025939",0.0974586099127156,-0.287492239837579,725.569192331561,905.348930486219,896.319032339347,781.543690039886,889.08397238162,870.58159772026,1059.01006843834,1219.74721231996
"ENSMUSG00000025956",0.0622720867779468,-0.369603840230953,163.508550384577,198.829296034287,155.322393021277,134.672782746986,215.115852092334,246.070821967715,168.456485305075,213.169802664614
"ENSMUSG00000025986",0.072994251962513,-0.198978147742431,2051.80521211757,2054.89112260678,2149.78063716711,2062.03900140467,2095.76388089956,2563.37914884299,2580.0440644093,2309.51283764931
"ENSMUSG00000026031",0.0588317509100882,0.274899387097149,272.514250640962,294.383181021638,265.136314201926,207.528550462569,228.041268097882,218.06965946794,200.965631592019,212.129949968689
"ENSMUSG00000026042",0.0822711294377728,-0.499569841400616,94.2445116799993,60.8070177192237,57.3802471034019,44.1550107367167,103.403328044384,89.0946079538278,98.5125645058916,71.7498360188213
"ENSMUSG00000026150",0.0542628084904313,-0.228285661750171,2802.35487742456,2677.43916116074,2605.85467017863,2350.15044646175,2937.76240926097,2842.54225376498,2908.09090421392,3536.53901884074
"ENSMUSG00000026247",0.0770340472288938,0.29971661728844,526.860884572526,465.221945089933,507.518392483537,521.029126693257,372.067332159702,396.258875375596,340.853473190385,532.404580313573
"ENSMUSG00000026278",0.0824866203847992,-0.2184260958084,948.122497021679,820.412143830795,1155.51945890989,905.177720102693,1119.89497248069,1066.58973521868,1090.53408908022,1178.15310448296
"ENSMUSG00000026308",0.119508429764782,-0.873931507012346,19.3030927537348,30.8861042383358,12.8610898680039,7.72712687892543,49.8551760213992,20.3644818180178,33.4942719320032,25.9963173981237
"ENSMUSG00000026360",0.0735701390135117,-0.224575336010323,1182.03056215517,1241.23531407812,1166.40191956743,1012.25362113923,1301.77404055876,1150.593222718,1449.11982388167,1475.5509755175
"ENSMUSG00000026452",0.142276805748308,0.414002526463184,1326.23601978601,1616.69451872539,1077.36360509663,2048.79249818366,919.551024394697,1316.0546374894,1149.64162778376,1169.83428291556
"ENSMUSG00000026458",0.0970551253064409,0.209087456861777,2251.64899592095,2077.09051002808,2106.25079453694,2736.50679040802,2034.82977687341,2043.23634240778,1979.11742092336,1876.93411614453
"ENSMUSG00000026484",0.0607791952637019,-0.279956052494489,405.364947828431,404.41492737071,459.041976827215,357.655586967405,490.242564210426,435.29079886013,466.949555757926,582.31750971797
"ENSMUSG00000026494",0.113854372910867,0.411932033749129,319.068768458793,377.389586162166,208.745381703755,385.252468677853,224.348292096297,229.1004204527,286.671562712145,229.807445799413
"ENSMUSG00000026683",0.144675593154324,-0.640514961134033,27.2514250640962,27.9905319659918,45.5084718406291,40.843384931463,39.6994920170401,48.3656443177922,45.3157796727102,87.3476264576955
"ENSMUSG00000026805",0.0676055523111793,1.73927783477361,60.180230349879,50.1899193872957,4.94657302615533,68.4402666419109,10.1556840043591,20.3644818180178,7.88100516047133,16.6376431347991
"ENSMUSG00000026966",0.0952280763083215,-0.237999722043681,615.428016030839,626.408801583749,740.007324712838,643.559281487646,816.147696350314,687.3012613581,902.375090873967,690.462190094164
"ENSMUSG00000027011",0.0702742227851311,-0.27323143733202,1109.36009531758,1150.50738287801,1309.85253732593,1086.21326412323,1489.1925726392,1196.41330680854,1302.33610276789,1638.80784877772
"ENSMUSG00000027188",0.0652351522475122,-0.273910453510917,506.422315774454,367.737678587686,544.123032877087,487.91286864072,523.479348224692,621.116695449542,604.867146066175,555.281339623921
"ENSMUSG00000027274",0.0887237156699786,-0.369890269455728,135.121649276144,233.576163302415,185.00183117821,147.919285968001,261.278052112148,207.887418558932,210.816888042608,226.687887711638
"ENSMUSG00000027342",0.114285714285714,-0.253522398529011,684.692054735416,558.845448562389,551.048235113704,543.106632061616,646.270800277398,692.392381812605,624.569658967353,823.563335172558
"ENSMUSG00000027447",0.0954751625287432,-0.195219641634623,15647.9953670129,14224.9813832685,16470.1095478868,17251.3626948352,17291.436883422,17075.6180044079,17336.2411017468,21105.8901691886
"ENSMUSG00000027570",0.0695216603270639,0.268553169895549,527.996360616863,447.84851145587,444.202257748749,426.095853609316,423.768996181894,414.077796966362,391.09488108839,303.636987210084
"ENSMUSG00000027715",0.0634045526919601,0.93570450985722,79.4833231036138,55.9810639319837,38.5832696040116,41.9472601998809,41.5459800178327,25.4556022725222,34.4793975770621,11.4383796551744
"ENSMUSG00000027835",0.0729965402058541,-0.401935053891029,559.789689858309,614.826512494373,528.29399919339,383.044718141018,610.264284261943,595.66109317702,696.483831056654,853.719063354381
"ENSMUSG00000027843",0.105251561350445,1.41311991706244,26.1159490197588,13.5126706042719,35.6153257883184,64.0247655682392,11.0789280047554,20.3644818180178,17.7322616110605,3.11955808777484
"ENSMUSG00000027961",0.0731927869893523,-0.958687340796606,4.54190417734936,23.1645781787519,14.839719078466,19.8697548315225,32.3135400138699,18.6674416665163,44.3306540276512,25.9963173981237
"ENSMUSG00000028016",0.0936636160525599,-0.408304522084172,152.153789941204,196.898914519391,148.39719078466,134.672782746986,156.028236066972,192.614057195418,234.459903524022,255.803763197537
"ENSMUSG00000028212",0.0897866693103116,-0.436517191750712,136.257125320481,122.579226195895,158.290336836971,112.595277378628,174.493116074897,122.186890908107,203.921008527196,216.289360752389
"ENSMUSG00000028252",0.0931821252445112,-0.31580301315957,450.783989601924,454.604846758006,419.469392617972,328.95482998854,514.246908220729,411.532236739109,518.17608930099,614.552943291643
"ENSMUSG00000028268",0.187098011568101,-0.733645856602666,45.4190417734936,68.5285437788076,46.4977864458601,40.843384931463,127.407672054687,61.9419655298041,41.3752770924745,103.985269592495
"ENSMUSG00000028358",0.0615475479319406,0.462626803222998,175.998786872288,217.167920425799,152.354449205584,213.047926804658,121.868208052309,160.37029431689,169.441610950134,98.7860061128699
"ENSMUSG00000028369",0.164482841944939,0.744288490507737,64.7221345272284,38.6076302979198,36.6046403935495,90.5177720102693,35.0832720150587,29.6982026512759,37.4347745122388,35.3549916614482
"ENSMUSG00000028583",0.0950879161686063,-0.32404430522497,149.882837852529,182.421053157671,184.012516572978,165.581290262688,199.420704085597,204.493338255929,178.307741755664,271.401553636411
"ENSMUSG00000028642",0.105123037812582,-0.789940603064621,11.3547604433734,20.2690059064079,19.7862921046213,20.9736300999404,24.0043440103033,30.5467227270267,20.6876385462372,49.9129294043974
"ENSMUSG00000028655",0.0566925827510824,0.325588139402935,262.294966241926,299.209134808878,325.484505121021,277.072692372897,232.657488099863,194.31109734692,211.802013687667,290.11890216306
"ENSMUSG00000028675",0.0686700954052198,-0.341819220377697,587.041114922405,643.782235217813,606.449853006644,447.069483709257,673.968120289286,645.723777646314,692.543328476418,882.83493884028
"ENSMUSG00000028719",0.0722115853522199,-0.249836545235384,1138.88247247035,1169.81119802697,1396.91222258627,1143.61477808096,1359.93841258372,1284.65939468662,1444.19419565637,1677.28239852694
"ENSMUSG00000028736",0.18640043553891,1.10160230137028,14.7611885763854,29.9209134808878,6.92520223661747,37.5317591262092,7.38595200317026,6.78816060600593,12.8066333857659,14.5579377429492
