"","Pval","log2FoldChange_BCH_vs_BPFC"
"ENSMUSG00000021244",0.342857142857143,0.0734224660671075
"ENSMUSG00000021252",0.485714285714286,0.016422373733619
"ENSMUSG00000021257",0.2,0.159473626152456
"ENSMUSG00000021432",0.2,-0.16666618877307
"ENSMUSG00000021477",0.485714285714286,-0.0808506630993927
"ENSMUSG00000021481",0.685714285714286,0.0126839111753267
"ENSMUSG00000021520",0.2,-0.102002853503063
"ENSMUSG00000021615",0.0285714285714286,-0.49766748541273
"ENSMUSG00000021662",0.342857142857143,0.0302559608852632
"ENSMUSG00000021690",0.685714285714286,0.0415841180995902
"ENSMUSG00000021696",0.2,0.149982723264832
"ENSMUSG00000021728",0.685714285714286,0.0201980502307631
"ENSMUSG00000021756",0.0571428571428571,0.184308944853353
"ENSMUSG00000021816",0.2,-0.114765150628515
"ENSMUSG00000021819",0.114285714285714,0.179061294198222
"ENSMUSG00000021903",0.342857142857143,0.451852205442239
"ENSMUSG00000021911",0.485714285714286,-0.0191360884012006
"ENSMUSG00000021959",0.485714285714286,-0.107964640649353
"ENSMUSG00000022010",0.2,-0.056158637570994
"ENSMUSG00000022012",0.2,-0.0576364213402081
"ENSMUSG00000022132",0.342857142857143,0.11523362653308
"ENSMUSG00000022136",1,0.0276951196292163
"ENSMUSG00000022146",0.485714285714286,0.0964888355484281
"ENSMUSG00000022204",0.885714285714286,-0.0219212336816817
"ENSMUSG00000022257",0.342857142857143,-0.0157699652657792
"ENSMUSG00000022261",0.685714285714286,0.000561486991279955
"ENSMUSG00000022283",0.685714285714286,-0.00942787707129303
"ENSMUSG00000022285",0.2,-0.137434928263292
"ENSMUSG00000022324",0.685714285714286,0.041726877728667
"ENSMUSG00000022407",0.342857142857143,-0.141768099860819
"ENSMUSG00000022449",0.2,0.37425095636692
"ENSMUSG00000022462",0.342857142857143,0.0297930476266055
"ENSMUSG00000022701",0.885714285714286,0.104161997113987
"ENSMUSG00000022707",0.685714285714286,-0.0515035844647873
"ENSMUSG00000022747",0.685714285714286,0.0448438921801847
"ENSMUSG00000022758",0.114285714285714,0.318662514726434
"ENSMUSG00000022793",0.485714285714286,-0.0293471124706489
"ENSMUSG00000022816",0.2,-0.105942676644341
"ENSMUSG00000022820",0.0285714285714286,-0.345739480717755
"ENSMUSG00000022827",0.685714285714286,-0.112704002448705
"ENSMUSG00000022898",0.342857142857143,-0.179063400243753
"ENSMUSG00000022899",0.485714285714286,-0.0859959485814382
"ENSMUSG00000022912",0.885714285714286,-0.123162192158657
"ENSMUSG00000022983",0.0571428571428571,0.212162695040729
"ENSMUSG00000023020",1,-0.0540970545850843
"ENSMUSG00000023336",0.342857142857143,-0.168391527984837
"ENSMUSG00000023393",0.685714285714286,0.0648100658014691
"ENSMUSG00000023827",1,-0.0693408932277155
"ENSMUSG00000023913",0.885714285714286,-0.061271398963445
"ENSMUSG00000023961",0.2,0.100988784059678
"ENSMUSG00000024006",0.885714285714286,0.124869656694144
"ENSMUSG00000024067",0.2,-0.112563953892419
"ENSMUSG00000024163",0.2,0.0791906266135439
"ENSMUSG00000024186",0.485714285714286,-0.0382336865304609
"ENSMUSG00000024188",0.342857142857143,0.0396211590051586
"ENSMUSG00000024218",0.342857142857143,-0.0779106872106783
"ENSMUSG00000024241",0.885714285714286,0.0558974472094736
"ENSMUSG00000024299",0.2,0.300028774444319
"ENSMUSG00000024304",0.342857142857143,-0.025196766260705
"ENSMUSG00000024312",0.685714285714286,0.0557409391639313
"ENSMUSG00000024399",0.342857142857143,0.195782685392704
"ENSMUSG00000024454",0.885714285714286,-0.00290166598558421
"ENSMUSG00000024830",0.685714285714286,0.0743399643883874
"ENSMUSG00000024853",0.685714285714286,0.0245727576924646
"ENSMUSG00000024883",0.2,0.0675807921145859
"ENSMUSG00000024897",0.2,0.1342627468608
"ENSMUSG00000024940",0.0571428571428571,0.27141826960049
"ENSMUSG00000025060",0.342857142857143,0.0259991540691799
"ENSMUSG00000025199",0.685714285714286,-0.0182142361101415
"ENSMUSG00000025207",0.2,0.230174767089224
"ENSMUSG00000025208",0.885714285714286,-0.0351682349536722
"ENSMUSG00000025218",0.342857142857143,0.0944251380486419
"ENSMUSG00000025314",0.685714285714286,-0.0128525731943313
"ENSMUSG00000025357",0.2,0.0831829694334376
"ENSMUSG00000025417",0.885714285714286,0.00606556143098473
"ENSMUSG00000025507",0.2,0.349020486517758
"ENSMUSG00000025544",0.0285714285714286,-0.249621448855654
"ENSMUSG00000025586",0.685714285714286,0.0681869065342829
"ENSMUSG00000025666",0.885714285714286,-0.0397464362900317
"ENSMUSG00000025723",0.342857142857143,-0.184600571003178
"ENSMUSG00000025737",0.885714285714286,0.0442870972962238
"ENSMUSG00000025889",0.0285714285714286,-0.232562547355795
"ENSMUSG00000025917",0.342857142857143,-0.00599074401342633
"ENSMUSG00000026058",0.2,-0.172071455509941
"ENSMUSG00000026126",0.342857142857143,0.0892477311608528
"ENSMUSG00000026153",0.885714285714286,0.0031152255169183
"ENSMUSG00000026170",0.342857142857143,0.236177118048094
