"","Pval","log2FoldChange_BCH_vs_BPFC"
"ENSMUSG00000006235",0.982137825632425,0.00541479279603797
"ENSMUSG00000006273",0.10353529751484,-0.0768637431324675
"ENSMUSG00000006304",0.565472101834303,-0.0710632837391377
"ENSMUSG00000006356",0.149939144889541,-0.171281904589353
"ENSMUSG00000006476",0.675160578859126,-0.0459874864098749
"ENSMUSG00000006494",0.366704259839593,-0.104828893026882
"ENSMUSG00000006526",0.504218185274288,-0.0384831899247479
"ENSMUSG00000006764",0.137633145316715,2.26551207975927
"ENSMUSG00000007038",0.697915987686303,-0.0192142574168034
"ENSMUSG00000007050",0.91975753084976,0.0103657571951403
"ENSMUSG00000007480",0.372502873653149,-0.355446665441868
"ENSMUSG00000007836",0.341708790858062,0.0572095404286513
"ENSMUSG00000007908",0.63008075645694,-0.0475486995728785
"ENSMUSG00000007944",0.410870050516347,-0.187209135889432
"ENSMUSG00000008036",0.656559749838171,-0.070845572792686
"ENSMUSG00000008682",0.799103338409176,-0.0517416905380258
"ENSMUSG00000008690",0.795745761280328,0.0363112235444877
"ENSMUSG00000009614",0.551740117082926,0.0947513909798263
"ENSMUSG00000010122",0.355997608867456,-0.267910917934214
"ENSMUSG00000010607",0.564047946410326,-0.094889801495893
"ENSMUSG00000011306",0.492587404737519,0.0894948186031955
"ENSMUSG00000011960",0.493151072453061,0.0498618854843437
"ENSMUSG00000013076",0.10341526301075,0.251685328223875
"ENSMUSG00000013465",0.0288827361367887,0.126537547101007
"ENSMUSG00000013663",0.886447807620825,-0.0160238339900113
"ENSMUSG00000013707",0.536697758486999,-0.15337362172511
"ENSMUSG00000013787",0.656675605154826,0.0177189418482142
"ENSMUSG00000013822",0.118182397085518,-0.202304021813339
"ENSMUSG00000014039",0.476385375632004,0.163369889160529
"ENSMUSG00000014554",0.828719356108694,0.0467374915461027
"ENSMUSG00000015484",0.290335856310365,-0.173306644835463
"ENSMUSG00000015542",0.790666358576392,-0.0388769697601954
"ENSMUSG00000015647",0.64683344257415,0.113477924235194
"ENSMUSG00000015702",0.223082242254911,0.334000346071228
"ENSMUSG00000015709",0.507714992862295,0.0740548370405153
"ENSMUSG00000015846",0.160611712028417,0.117669239495106
"ENSMUSG00000016179",0.616970508576714,0.0542422004721032
"ENSMUSG00000016528",0.359845930987216,0.0571551123025586
"ENSMUSG00000016554",0.926482589297683,0.014202276671787
"ENSMUSG00000016559",0.419492445296868,-0.0476001202662137
"ENSMUSG00000017002",0.573538488413725,-0.207979349882588
"ENSMUSG00000017307",0.307875408056084,0.131197960999282
"ENSMUSG00000017493",0.650037162328639,-0.0671341792004719
"ENSMUSG00000017764",0.583866720256694,0.0784727664837805
"ENSMUSG00000017781",0.636378400191639,-0.0256748207957945
"ENSMUSG00000017897",0.872878999777353,-0.0422665299092597
"ENSMUSG00000018166",0.813254149716218,0.0721616759032729
"ENSMUSG00000018425",0.285235428775898,-0.177506270350208
"ENSMUSG00000018481",0.936186836297636,0.00557767289943065
"ENSMUSG00000018659",0.583400820538261,0.0605909213375404
"ENSMUSG00000018707",0.149363185009113,0.176763238289782
"ENSMUSG00000018899",0.727989870792176,-0.0912895855341162
"ENSMUSG00000018909",0.0311695668857278,0.138967774997633
"ENSMUSG00000018920",0.831509726789481,0.0705185254659459
"ENSMUSG00000019054",0.779050678202641,-0.0554062231804769
"ENSMUSG00000019230",0.221260448531972,0.526721562405161
"ENSMUSG00000019437",0.186181476685747,0.0944744650208458
"ENSMUSG00000019578",0.943424667031904,-0.0137730362520258
"ENSMUSG00000019731",0.894608067400366,0.00918005870518213
"ENSMUSG00000019773",0.126959080873035,-0.444853862174629
"ENSMUSG00000019817",0.0217105004796619,0.193794553116781
"ENSMUSG00000019878",0.411971111195944,-0.085765589433124
"ENSMUSG00000019906",0.576553648168548,-0.0740254528883549
"ENSMUSG00000019945",0.639330458229253,0.118037577386224
"ENSMUSG00000019960",0.17132445347179,-0.184528543390942
"ENSMUSG00000019986",0.317622716553598,0.043465457953943
"ENSMUSG00000020023",0.124645256740971,0.133030598530761
"ENSMUSG00000020080",0.488142456026225,-0.131063445613987
"ENSMUSG00000020089",0.0750867730476941,-0.228190839746288
"ENSMUSG00000020109",0.64992044201098,-0.043743970916509
"ENSMUSG00000020116",0.160491768654397,-0.263315395293876
"ENSMUSG00000020122",0.385469269861181,0.142581173666124
"ENSMUSG00000020155",0.419894957228208,-0.462320049708558
"ENSMUSG00000020272",0.419767380464297,0.227046811757734
"ENSMUSG00000020325",0.150225223750608,0.81452747657208
"ENSMUSG00000020372",0.225942761213521,-0.166837913328208
"ENSMUSG00000020380",0.874680149356281,-0.0157375680491604
"ENSMUSG00000020513",0.0291901110961516,-0.348638399099058
"ENSMUSG00000020576",0.0867163858966258,0.154734674589856
"ENSMUSG00000020599",0.0228905064126312,0.189504704799351
"ENSMUSG00000020608",0.520710301099553,0.0664575796708897
"ENSMUSG00000020733",0.667520015766351,0.0501272217193045
"ENSMUSG00000020780",0.153215392002841,0.156128005324722
"ENSMUSG00000020834",0.536088907765708,-0.0939782615206006
"ENSMUSG00000020843",0.110493315791346,-0.213823714313716
"ENSMUSG00000020846",0.591266305348376,-0.074105419196169
"ENSMUSG00000020882",0.292840662404842,0.0816091793106055
"ENSMUSG00000020887",0.976611445221301,0.0118259754038742
"ENSMUSG00000020891",0.0487503606058208,0.568455837277751
"ENSMUSG00000020912",0.00738221150897358,-0.443011865316989
"ENSMUSG00000020919",0.5753816391617,0.0451875847242408
"ENSMUSG00000020923",0.438497656392775,-0.0391428835563546
"ENSMUSG00000020929",0.628797552988312,-0.0376409855745748
"ENSMUSG00000020936",0.838361491915449,-0.0183353295558959
"ENSMUSG00000020982",0.206131281393007,-0.0986457908432971
"ENSMUSG00000021018",0.0499600872001146,-0.174726340627153
"ENSMUSG00000021185",0.117562122209411,-0.170027956195909
"ENSMUSG00000021214",0.231120820413071,-0.546487935076466
"ENSMUSG00000021259",0.442788117082097,-0.0627396039878989
"ENSMUSG00000021273",0.415523706931382,-0.109767166399019
"ENSMUSG00000021275",0.16428436032454,0.133878939920116
"ENSMUSG00000021451",0.0475923275952178,0.158136834550963
"ENSMUSG00000021457",0.99370689832615,-0.00165954229147838
"ENSMUSG00000021486",0.832660746784909,-0.0288280498930418
"ENSMUSG00000021549",0.863661782687418,0.0242877727091841
"ENSMUSG00000021590",0.256404108661752,0.256622002522061
"ENSMUSG00000021614",0.359660348340978,-0.188745500820424
"ENSMUSG00000021638",0.304729353669932,0.149733755465693
"ENSMUSG00000021645",0.581152268140396,-0.083718446995255
"ENSMUSG00000021661",0.277292525472992,-0.183273730731183
"ENSMUSG00000021725",0.695615639780747,0.0875187371355017
"ENSMUSG00000021731",0.317461875537102,-0.166010485631304
"ENSMUSG00000021759",0.290397635080696,-0.117967609129236
"ENSMUSG00000021763",0.120353352772145,0.507958474494598
"ENSMUSG00000021840",0.81023036291589,0.0263386365540483
"ENSMUSG00000021900",0.229173586071101,-0.137174614700749
"ENSMUSG00000021918",0.352904342983572,-0.0999374021046309
"ENSMUSG00000021951",0.751879493698945,-0.06117850930175
"ENSMUSG00000021958",0.438502600570595,0.0530881939410129
"ENSMUSG00000021973",0.582532309908429,-0.0469355970765961
"ENSMUSG00000021998",0.465020524455051,-0.165520518148117
"ENSMUSG00000022032",0.910695479750298,-0.044460743263774
"ENSMUSG00000022111",0.256923567855419,-0.169114897654473
"ENSMUSG00000022123",0.0434860789503051,0.575589512445312
"ENSMUSG00000022141",0.809959467298672,0.031088405162288
"ENSMUSG00000022240",0.565626339001559,0.026750402610745
"ENSMUSG00000022269",0.586912031911925,0.104680791568871
"ENSMUSG00000022272",0.412223388578209,0.106696556343941
"ENSMUSG00000022342",0.0584146732245028,-0.28841016771005
"ENSMUSG00000022360",0.114623236771,-0.286812746738422
"ENSMUSG00000022382",0.705990637782804,-0.0531554339428398
"ENSMUSG00000022428",0.140526335361601,-0.1261812887431
"ENSMUSG00000022434",0.795491819719784,0.0409686755329043
"ENSMUSG00000022436",0.497014903854454,0.0770301684304976
"ENSMUSG00000022438",0.0862964444589391,0.192957126779554
"ENSMUSG00000022443",0.102218257597167,0.28724652496739
"ENSMUSG00000022545",0.0648062454394615,0.101803199577197
"ENSMUSG00000022570",0.815162308950871,-0.0173358026158128
"ENSMUSG00000022641",0.793805845885775,0.0430800020348674
"ENSMUSG00000022702",0.626295186519977,0.0431517335657875
"ENSMUSG00000022768",0.101232837127564,-0.393519516978514
"ENSMUSG00000022799",0.237231118779573,0.215275934805785
"ENSMUSG00000022831",0.68451079509296,-0.0544179541257208
"ENSMUSG00000022848",0.176443613812244,-0.0760576106352784
"ENSMUSG00000022883",0.0703261130603795,0.174458356712479
"ENSMUSG00000022995",0.0846134450484987,0.125345103590064
"ENSMUSG00000022997",0.275483963065443,-0.249951548217644
"ENSMUSG00000023015",0.548701826477521,-0.0432913917181356
"ENSMUSG00000023019",0.863006752743153,0.0154436612282739
"ENSMUSG00000023044",0.173024019050216,0.140599492011691
"ENSMUSG00000023047",0.0339449902250973,0.455467675607469
"ENSMUSG00000023072",0.0546790855869161,0.137724956484476
"ENSMUSG00000023079",0.310545547337523,0.156135375359116
"ENSMUSG00000023089",0.954078268592916,0.00248155076543434
"ENSMUSG00000023094",0.550072454097039,-0.0520056534835819
"ENSMUSG00000023345",0.405171642489438,-0.128948454344617
"ENSMUSG00000023484",0.576851822750051,0.147789266657466
"ENSMUSG00000023845",0.295466544598961,0.0789334065116431
"ENSMUSG00000023852",0.359242399115135,0.183328120450618
"ENSMUSG00000023868",0.313334727167387,0.187693690142594
"ENSMUSG00000023882",0.363194432801452,0.345331069511398
"ENSMUSG00000023923",0.716865596175855,0.0271570218102803
"ENSMUSG00000023935",0.708579828971452,0.117181544928463
"ENSMUSG00000024012",0.716361055913166,-0.0404962306214623
"ENSMUSG00000024059",0.622899880475796,-0.026759869031474
"ENSMUSG00000024065",0.428643262703349,0.0416676251012682
"ENSMUSG00000024174",0.698844028142513,-0.0971544948880708
"ENSMUSG00000024181",0.188146348509155,-0.149909827971725
"ENSMUSG00000024220",0.0297840375779199,0.105778191508303
"ENSMUSG00000024271",0.580826191769313,0.0323541039928707
"ENSMUSG00000024283",0.723136150752987,-0.0205840619390725
"ENSMUSG00000024339",0.572210843779011,-0.0754638460283658
"ENSMUSG00000024483",0.827005197083878,-0.026374013290928
"ENSMUSG00000024525",0.869369577259216,0.0340898944269181
"ENSMUSG00000024548",0.472488742926559,-0.0485615700970475
"ENSMUSG00000024571",0.471915954947799,-0.066064410999846
"ENSMUSG00000024593",0.0429344502426571,0.237884222188559
"ENSMUSG00000024614",0.50258220789867,-0.117286037093178
"ENSMUSG00000024659",0.063318923026544,-0.915701622256389
"ENSMUSG00000024767",0.774296973678164,-0.0346903507942301
"ENSMUSG00000024789",0.823536548369099,-0.0265729956258858
"ENSMUSG00000024827",0.57393482901849,0.041956897905895
"ENSMUSG00000024844",0.0980411377090228,-0.179786536034308
"ENSMUSG00000024846",0.484898420385125,-0.140014407415553
"ENSMUSG00000024875",0.56506010094502,-0.0814783941042942
"ENSMUSG00000024901",0.9414491006167,-0.00961295839841729
"ENSMUSG00000024902",0.640643732121489,-0.0603351284685482
"ENSMUSG00000024965",0.656926242515267,0.0815861998608494
"ENSMUSG00000024993",0.429524461568771,-0.0747757329227411
"ENSMUSG00000025024",0.252477298561495,-0.136204272521508
"ENSMUSG00000025041",0.563414698071929,0.0225117745623362
"ENSMUSG00000025047",0.63841243134064,0.0519684279739806
"ENSMUSG00000025083",0.0681915545115186,0.625161743135644
"ENSMUSG00000025133",0.781221148993995,0.0212309061313557
"ENSMUSG00000025150",0.490026313917366,-0.567866122701843
"ENSMUSG00000025155",0.805746699032775,-0.0180841238190891
"ENSMUSG00000025190",0.215535853296475,-0.0384880248177866
"ENSMUSG00000025220",0.48589255086649,-0.0277760862465964
"ENSMUSG00000025231",0.496175822675066,0.0661427712672014
"ENSMUSG00000025255",0.459260026230243,0.16270109302407
"ENSMUSG00000025316",0.792308065047267,0.0591148231601083
"ENSMUSG00000025354",0.653023696358136,-0.0392127770853099
"ENSMUSG00000025371",0.850351889567673,-0.0254074449046481
"ENSMUSG00000025420",0.754802238582708,-0.0550271408795136
"ENSMUSG00000025532",0.661111553338329,0.0639363468882144
"ENSMUSG00000025584",0.679705270826596,0.0803206575336266
"ENSMUSG00000025597",0.389542545913507,-0.175461834367693
"ENSMUSG00000025645",0.125246672964098,-0.296742230190467
"ENSMUSG00000025651",0.958708622285664,0.00674568580988858
"ENSMUSG00000025656",0.944422219314524,0.00365560658704083
"ENSMUSG00000025856",0.263303901374456,-0.170963568265981
"ENSMUSG00000025860",0.718657392296577,-0.0482376313278166
"ENSMUSG00000025878",0.706913725940101,0.0627930990282
"ENSMUSG00000025899",0.108644543740771,-0.0574102683470543
"ENSMUSG00000025986",0.072994251962513,-0.198978147742431
"ENSMUSG00000026000",0.150358173678685,-0.121163913638515
"ENSMUSG00000026017",0.792897661847926,0.0395689974357731
"ENSMUSG00000026020",0.677472895693996,-0.0394007219421949
"ENSMUSG00000026035",0.26100304054373,-0.229771381153857
"ENSMUSG00000026036",0.669306425822048,-0.0657915930229781
"ENSMUSG00000026078",0.928049422240395,0.0120276323837984
"ENSMUSG00000026090",0.931182218246104,0.00482484298943287
"ENSMUSG00000026156",0.828824765793652,0.0335724114952869
"ENSMUSG00000026167",0.571201807363013,0.146358714504233
"ENSMUSG00000026175",0.753110816226481,0.125037822167757
"ENSMUSG00000026177",0.646446039729022,-0.168868378001779
"ENSMUSG00000026198",0.0641899963685537,-0.336377065465637
"ENSMUSG00000026240",0.708031309312507,0.0404095920302926
"ENSMUSG00000026248",0.178438574210083,-0.135806881524362
"ENSMUSG00000026275",0.762094221251026,0.0195048225793668
"ENSMUSG00000026279",0.875794797967957,0.0187162789243074
"ENSMUSG00000026309",0.159209195412589,-0.0878086455299722
"ENSMUSG00000026315",0.419313484149135,-0.118662124845125
"ENSMUSG00000026439",0.139846381618774,0.120709986968687
"ENSMUSG00000026475",0.724101662159408,0.0457242287755646
"ENSMUSG00000026564",0.973712967380226,-0.0159635752861238
"ENSMUSG00000026616",0.917453812379221,-0.0624355358326919
"ENSMUSG00000026620",0.100237850982627,0.0600886353293815
"ENSMUSG00000026708",0.019569116362681,-0.648370342552087
"ENSMUSG00000026755",0.1603498062678,-0.110291306575196
"ENSMUSG00000026798",0.330485649583283,-0.160151051886995
"ENSMUSG00000026820",0.590132265414583,-0.103144405140572
"ENSMUSG00000026833",0.274118573890021,-0.127781633793491
"ENSMUSG00000026856",0.32369929057465,-0.130206957616771
"ENSMUSG00000026893",0.276076813569065,0.264372954207962
"ENSMUSG00000026895",0.70119434831202,-0.0404620529803976
"ENSMUSG00000026933",0.191414523043322,0.118356180262795
"ENSMUSG00000026970",0.451302721483679,0.0893118917731576
"ENSMUSG00000027074",0.667660818498861,-0.229484152164641
"ENSMUSG00000027187",0.371311086436884,0.122495008019968
"ENSMUSG00000027227",0.67749551263747,0.0602817192577468
"ENSMUSG00000027276",0.751559560804996,-0.112329080579173
"ENSMUSG00000027296",0.347406890850797,-0.164373877469232
"ENSMUSG00000027314",0.873856768290641,0.0467237196923741
"ENSMUSG00000027333",0.163331123919497,0.10306786915062
"ENSMUSG00000027367",0.546806343381553,-0.0232067187084955
"ENSMUSG00000027394",0.146198047349828,-0.146963195872477
"ENSMUSG00000027452",0.94134118666901,-0.011963590493391
"ENSMUSG00000027463",0.419162427944149,-0.204147956358766
"ENSMUSG00000027475",0.267164287172878,0.0922094277334244
"ENSMUSG00000027495",0.913906736353836,0.0102458407299059
"ENSMUSG00000027502",0.716296123695583,-0.0289904696042492
"ENSMUSG00000027510",0.572643028383378,-0.142833000172771
"ENSMUSG00000027520",0.236788558629211,0.16989978101819
"ENSMUSG00000027568",0.441569075452976,0.1882621663553
"ENSMUSG00000027613",0.97474533669597,0.00541330516694072
"ENSMUSG00000027630",0.450869738823535,0.0475412242257295
"ENSMUSG00000027634",0.226085020085948,-0.0917639253698243
"ENSMUSG00000027660",0.929910406998892,-0.0127377608680346
"ENSMUSG00000027698",0.214645717383324,-0.0869089081893616
"ENSMUSG00000027716",0.318621759735736,0.203497666258534
"ENSMUSG00000027722",0.777454049716368,0.0513824913624032
"ENSMUSG00000027748",0.216936111648438,-0.173907061371676
"ENSMUSG00000027796",0.10792719211262,0.217976566710173
"ENSMUSG00000027857",0.0608974022306001,0.688905378027764
"ENSMUSG00000027879",0.228425812478253,-0.0941814286167042
"ENSMUSG00000027933",0.410577041285475,-0.0755130638372118
"ENSMUSG00000027935",0.744809280846233,0.0454192576910129
"ENSMUSG00000027940",0.694911012361225,-0.0435468957525635
"ENSMUSG00000027956",0.174028538767021,-0.186675796174583
"ENSMUSG00000028033",0.879897803809636,-0.012120907004192
"ENSMUSG00000028049",0.609910360871154,0.0280135487823494
"ENSMUSG00000028070",0.660798954767349,0.0769631867272238
"ENSMUSG00000028099",0.155483533513711,0.130277129068919
"ENSMUSG00000028145",0.574634491800581,-0.114769736811844
"ENSMUSG00000028223",0.582661074289375,-0.0644320363704331
"ENSMUSG00000028261",0.302595333973821,-0.104864415344298
"ENSMUSG00000028268",0.187098011568101,-0.733645856602666
"ENSMUSG00000028282",0.680780387906897,0.0890669425240309
"ENSMUSG00000028369",0.164482841944939,0.744288490507737
"ENSMUSG00000028439",0.0395517681419932,0.14390859111927
"ENSMUSG00000028454",0.42729856479128,0.064979897874794
"ENSMUSG00000028459",0.686043510517796,-0.151110238038969
"ENSMUSG00000028461",0.919179887866999,-0.0160657222827099
"ENSMUSG00000028496",0.251025842044574,0.136859876364296
"ENSMUSG00000028497",0.47213828866001,0.131675946413855
"ENSMUSG00000028556",0.836652812091362,-0.00964557382386202
