"","BInt_390","BInt_391","BInt_392","BInt_398","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000120690",15.8912962253384,63.7001078634353,24.1740254418336,31.4738846792691,19.5961582021917,7.42261895653374,18.1768973592472,19.1988943438955,"Gm56654"
"ENSMUSG00000120695",30.723172702321,90.0110219809412,36.2610381627504,60.8495103799202,26.7220339120795,22.2678568696012,16.2635397424844,14.1465537270809,"BB187676"
"ENSMUSG00000120707",4.23767899342358,18.0022043961882,16.4038029783871,10.4912948930897,8.01661017362386,22.2678568696012,15.3068609341029,11.1151493569921,"Gm30092"
"ENSMUSG00000120717",67.8028638947773,23.5413442104,63.0251377590661,33.572143657887,41.8645197955913,42.0615074203578,47.8339404190717,76.7955773755819,"Gm56791"
"ENSMUSG00000120721",4.23767899342358,0,5.18014830896434,4.19651795723588,11.5795480285678,23.9173277488309,17.2202185508658,11.1151493569921,"Gm56792"
"ENSMUSG00000120732",689.682256179688,624.538014052377,766.661949726722,609.544233288511,661.815706555837,558.34589261926,609.404400938973,718.442835711036,"Gm56936"
"ENSMUSG00000120740",18.0101357220502,20.7717743032941,31.080889853786,23.0808487647973,14.2517514197758,37.1130947826687,14.3501821257215,25.261703084073,"Gm57103"
"ENSMUSG00000120742",58.2680861595743,159.250269658588,69.9320021710186,87.0777476126445,60.569943534047,40.4120365411281,55.4873708861231,36.3768524410651,"Gm56506"
"ENSMUSG00000120751",15.8912962253384,26.3109141175059,13.8137288239049,10.4912948930897,8.01661017362386,10.7215607149932,16.2635397424844,12.125617480355,"Gm56537"
"ENSMUSG00000120766",28.6043332056092,24.926129163953,28.4908156993039,46.1616975295947,23.1590960571356,23.9173277488309,33.4837582933502,16.1674899738067,"Gm57027"
"ENSMUSG00000120774",30.723172702321,1.38478495355294,16.4038029783871,10.4912948930897,29.3942373032875,35.463623903439,27.7436854430616,23.2407668373472,"Gm57213"
"ENSMUSG00000120777",66.7434441464215,80.3175273060706,18.9938771328692,56.6529924226844,59.679209070311,32.9894175845944,15.3068609341029,61.6385555251381,"Gm56626"
"ENSMUSG00000120789",11.6536172319149,1.38478495355294,9.49693856643462,0,14.2517514197758,18.1441796715269,28.700364251443,11.1151493569921,"Gm56686"
"ENSMUSG00000120806",37.0796911924564,87.2414520738353,56.9816313986077,59.8003808906113,43.6459887230632,27.2162695072904,32.5270794849687,37.387320564428,"Gm57029"
"ENSMUSG00000120819",18.0101357220502,37.3891937459294,15.540444926893,16.7860718289435,16.9239548109837,10.7215607149932,5.7400728502886,15.1570218504438,"Gm57032"
"ENSMUSG00000120826",24.3666542121856,19.3869893497412,16.4038029783871,27.2773667220332,17.8146892747197,16.4947087922972,25.8303278262987,9.09421311026628,"Gm57409"
"ENSMUSG00000120834",50.852147921083,78.9327423525177,38.8511123172325,53.5056039547575,32.0664406944954,18.9689151111418,23.9169702095358,76.7955773755819,"Gm36012"
"ENSMUSG00000120837",16.9507159736943,19.3869893497412,9.49693856643462,27.2773667220332,16.0332203472477,12.3710315942229,8.6101092754329,7.07327686354044,"Gm57245"
"ENSMUSG00000120844",33.9014319473887,37.3891937459294,40.5778284202206,33.572143657887,33.8479096219674,18.1441796715269,20.0902549760101,15.1570218504438,"B930046K06Rik"
"ENSMUSG00000120846",12.7130369802708,34.6196238388235,14.677086875399,7.34390642516279,5.34440678241591,8.2473543961486,13.3935033173401,2.02093624672584,"Gm57298"
"ENSMUSG00000120847",19.0695554704061,20.7717743032941,26.7640995963157,33.572143657887,39.1923164043833,29.690475826135,32.5270794849687,22.2302987139842,"Gm56991"
"ENSMUSG00000120849",4.23767899342358,30.4652689781647,18.1305190813752,30.4247551899601,17.8146892747197,9.89682527537832,18.1768973592472,8.08374498690336,"Gm56768"
"ENSMUSG00000120850",30.723172702321,91.3958069344942,33.6709640082682,52.4564744654485,25.8312994483436,18.1441796715269,27.7436854430616,43.4501293046056,"Gm56765"
"ENSMUSG00000120863",278.627393817601,307.422259688753,353.976801112563,339.917954536106,244.951977527396,268.863753314444,294.657072981481,325.37073572286,"Gm56582"
"ENSMUSG00000120872",15.8912962253384,42.9283335601412,15.540444926893,24.1299782541063,11.5795480285678,14.0205024734526,10.5234668921958,9.09421311026628,"Gm57217"
"ENSMUSG00000120873",32.8420121990328,33.2348388852706,35.3976801112563,34.621273147196,29.3942373032875,32.1646821449795,30.6137218682059,45.4710655513314,"3300002P09Rik"
"ENSMUSG00000120875",6.35651849013538,34.6196238388235,18.1305190813752,24.1299782541063,21.3776271296636,13.1957670338378,8.6101092754329,11.1151493569921,"A830021M18Rik"
"ENSMUSG00000120877",23.3072344638297,4.15435486065883,6.04350636045839,19.9334602968704,21.3776271296636,17.3194442319121,11.4801457005772,17.1779580971696,"5033425G24Rik"
"ENSMUSG00000120880",38.1391109408123,60.9305379563294,16.4038029783871,30.4247551899601,21.3776271296636,31.3399467053647,16.2635397424844,14.1465537270809,"1700029K24Rik"
"ENSMUSG00000120883",40.257950437524,31.8500539317177,35.3976801112563,36.7195321258139,47.2089265780072,37.9378302222836,31.5704006765873,30.3140437008876,"Gm56552"
"ENSMUSG00000120896",16.9507159736943,16.6174194426353,18.9938771328692,15.7369423396345,10.6888135648318,6.59788351691888,11.4801457005772,11.1151493569921,"Gm57238"
"ENSMUSG00000120905",7.41593823849127,49.8522583279059,9.49693856643462,11.5404243823987,13.3610169560398,10.7215607149932,11.4801457005772,15.1570218504438,"Gm56623"
"ENSMUSG00000120906",11.6536172319149,12.4630645819765,5.18014830896434,19.9334602968704,14.2517514197758,18.9689151111418,8.6101092754329,2.02093624672584,"Gm57036"
"ENSMUSG00000120908",6.35651849013538,15.2326344890824,9.49693856643462,8.39303591447176,10.6888135648318,4.1236771980743,5.7400728502886,12.125617480355,"Gm39283"
"ENSMUSG00000120910",24.3666542121856,11.0782796284235,15.540444926893,13.6386833610166,13.3610169560398,13.1957670338378,20.0902549760101,4.04187249345168,"Gm57158"
"ENSMUSG00000120920",13.7724567286266,42.9283335601412,2.59007415448217,13.6386833610166,10.6888135648318,14.0205024734526,16.2635397424844,7.07327686354044,"Gm56812"
"ENSMUSG00000120926",148.318764769825,170.328549287012,86.3358051494056,105.962078420206,103.325197793374,89.0714274784049,131.064996748256,95.9944717194774,"Gm57038"
"ENSMUSG00000120927",11.6536172319149,30.4652689781647,13.8137288239049,14.6878128503256,7.12587570988788,10.7215607149932,9.56678808381433,17.1779580971696,"Gm30716"
"ENSMUSG00000120928",8.47535798684717,34.6196238388235,19.8572351843633,17.8352013182525,19.5961582021917,8.2473543961486,11.4801457005772,4.04187249345168,"Gm57147"
"ENSMUSG00000120936",7.41593823849127,15.2326344890824,12.0870127209168,12.5895538717076,8.90734463735985,4.1236771980743,20.0902549760101,2.02093624672584,"9930105H17Rik"
"ENSMUSG00000120939",9.53477773520306,1.38478495355294,18.1305190813752,11.5404243823987,19.5961582021917,24.7420631884458,5.7400728502886,8.08374498690336,"Gm57044"
"ENSMUSG00000120945",9.53477773520306,24.926129163953,7.77022246344651,8.39303591447176,11.5795480285678,18.1441796715269,11.4801457005772,7.07327686354044,"Gm56809"
"ENSMUSG00000120950",37.0796911924564,11.0782796284235,21.5839512873514,24.1299782541063,27.6127683758155,24.7420631884458,39.2238311436388,8.08374498690336,"Gm57241"
"ENSMUSG00000120951",16.9507159736943,13.8478495355294,12.0870127209168,18.8843308075615,23.1590960571356,15.6699733526823,13.3935033173401,2.02093624672584,"Gm46878"
"ENSMUSG00000120954",15.8912962253384,30.4652689781647,9.49693856643462,18.8843308075615,10.6888135648318,15.6699733526823,14.3501821257215,5.0523406168146,"Gm56716"
"ENSMUSG00000120969",15.8912962253384,12.4630645819765,7.77022246344651,13.6386833610166,6.23514124615189,13.1957670338378,10.5234668921958,3.03140437008876,"Gm56813"
"ENSMUSG00000120970",77.3376416299804,87.2414520738353,62.161779707572,58.7512514013023,66.8050847801989,67.6283060484185,70.7942318202261,33.3454480709764,"Gm56877"
"ENSMUSG00000120971",9.53477773520306,15.2326344890824,18.9938771328692,14.6878128503256,8.01661017362386,10.7215607149932,8.6101092754329,20.2093624672584,"Gm57218"
"ENSMUSG00000120974",10.594197483559,44.3131185136941,19.8572351843633,18.8843308075615,16.0332203472477,4.94841263768916,6.69675165867003,15.1570218504438,"Gm56587"
"ENSMUSG00000120975",31.7825924506769,69.2392476776471,31.9442479052801,34.621273147196,33.8479096219674,34.6388884638241,42.0938675687831,25.261703084073,"Gm56589"
"ENSMUSG00000120976",1258.5906610468,1415.25022253111,1564.40478930723,1322.95228601861,1239.90237352049,1252.77313277497,1324.0434707999,1388.38320150065,"Gm56971"
"ENSMUSG00000120977",16.9507159736943,6.92392476776471,10.3602966179287,6.29477693585382,20.4868926659276,14.0205024734526,17.2202185508658,2.02093624672584,"Gm32164"
"ENSMUSG00000120979",54.0304071661507,5.53913981421177,25.0373834933276,14.6878128503256,44.5367231867992,50.3088618165065,57.400728502886,44.4605974279685,"Gm56718"
"ENSMUSG00000120992",25.4260739605415,24.926129163953,29.3541737507979,27.2773667220332,45.4274576505352,31.3399467053647,24.8736490179173,46.4815336746943,"D17H6S56E-5"
"ENSMUSG00000120995",24.3666542121856,49.8522583279059,56.9816313986077,40.9160500830498,35.6293785494394,20.6183859903715,45.9205828023088,45.4710655513314,"Gm51425"
"ENSMUSG00000120996",25.4260739605415,63.7001078634353,36.2610381627504,16.7860718289435,37.4108474769114,31.3399467053647,41.1371887604016,40.4187249345168,"Gm56817"
"ENSMUSG00000120997",19.0695554704061,24.926129163953,19.8572351843633,22.0317192754884,16.9239548109837,25.5667986280607,21.0469337843915,26.2721712074359,"Gm57385"
"ENSMUSG00000120999",134.546308041199,200.793818265177,132.957139930085,165.762459310817,113.12327689447,103.916665391472,66.0108377783189,83.8688542391224,"Gm17586"
"ENSMUSG00000121001",38.1391109408123,42.9283335601412,37.9877542657385,19.9334602968704,57.897740142839,94.8445755557089,88.9711291794733,42.4396611812426,"Gm57461"
"ENSMUSG00000121005",69.9217033914891,152.326344890824,63.0251377590661,67.1442873157741,54.3348022878951,49.4841263768916,29.6570430598244,51.5338742915089,"Gm56769"
"ENSMUSG00000121013",52.9709874177948,66.4696777705412,38.8511123172325,52.4564744654485,46.3181921142712,32.1646821449795,52.6173344609788,29.3035755775247,"Gm57304"
"ENSMUSG00000121015",86.8724193651835,268.648280989271,72.5220763255007,121.69902075984,113.12327689447,81.6488085218711,62.1841225447932,56.5862149083235,"Gm56721"
"ENSMUSG00000121028",14.8318764769825,27.6956990710588,13.8137288239049,13.6386833610166,21.3776271296636,7.42261895653374,11.4801457005772,7.07327686354044,"Gm56867"
"ENSMUSG00000121049",12.7130369802708,20.7717743032941,14.677086875399,28.3264962113422,5.34440678241591,17.3194442319121,18.1768973592472,7.07327686354044,"Gm39468"
"ENSMUSG00000121050",22.2478147154738,22.1565592568471,18.9938771328692,25.1791077434153,19.5961582021917,10.7215607149932,18.1768973592472,21.2198305906213,"Gm57047"
"ENSMUSG00000121053",27.5449134572533,31.8500539317177,37.9877542657385,38.8177911044319,42.7552542593273,36.2883593430538,44.9639039939274,7.07327686354044,"Gm56593"
"ENSMUSG00000121054",11.6536172319149,8.30870972131765,12.9503707724108,12.5895538717076,4.45367231867992,8.2473543961486,20.0902549760101,26.2721712074359,"C030010C08Rik"
"ENSMUSG00000121066",19.0695554704061,91.3958069344942,30.217531802292,39.8669205937409,38.3015819406473,27.2162695072904,25.8303278262987,24.2512349607101,"Gm57402"
"ENSMUSG00000121067",42.3767899342358,36.0044087923765,20.7205932358574,22.0317192754884,17.8146892747197,15.6699733526823,26.7870066346801,14.1465537270809,"Gm56901"
"ENSMUSG00000121069",62.5057651529979,40.1587636530353,81.1556568404413,98.6181719950432,91.7456497648064,71.7519832464928,72.7075894369889,180.873794081963,"Gm56730"
"ENSMUSG00000121079",20.128975218762,4.15435486065883,23.3106673903395,22.0317192754884,8.90734463735985,31.3399467053647,20.0902549760101,17.1779580971696,"Gm57389"
"ENSMUSG00000121080",260.61725809555,362.813657830871,150.224300959966,223.464581222811,176.365423819725,166.596558802202,174.115543125421,143.486473517535,"Gm57228"
"ENSMUSG00000121082",19.0695554704061,22.1565592568471,39.7144703687266,44.0634385509767,27.6127683758155,28.8657403865201,22.003612592773,21.2198305906213,"5730424H11Rik"
