"","log2FoldChange","pvalue","padj","BInt_390","BInt_391","BInt_392","BInt_398","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000017631",0.41004155087385,0.033735160203658,0.153319402354895,7984.84664335839,3856.62609564494,5699.88985596376,5734.54178856283,7441.19571005042,8402.40465879619,7620.9033875665,7466.34896352862,"Abr"
"ENSMUSG00000017639",0.268114508976893,0.0718890967212389,0.229168156510002,6294.01272498238,4294.21814096767,4452.33747155485,4472.43901292414,5743.45582216963,6137.68114161379,5919.92846626431,5698.02974764351,"Rab11fip4"
"ENSMUSG00000017664",-0.232982974003549,0.131170478388542,0.322406418803485,1055.18206936247,1481.71990030165,992.861759218165,1243.21844483113,985.152316891999,978.136231383224,995.902639525072,1098.37885009549,"Slc35c2"
"ENSMUSG00000017667",0.25235244241316,0.0974352490168574,0.270770027033547,388.807047646614,288.035270339012,398.00806173876,391.325299512246,445.367231867992,451.130285469328,406.588493562109,447.637378649774,"Zfp334"
"ENSMUSG00000017670",0.28390893133035,0.096465404864781,0.269182954878639,2826.53188861353,1580.03963200391,2273.22174958385,2314.37965341559,2764.8397754365,2822.24467436205,2792.5454416654,2574.67277832872,"Elmo2"
"ENSMUSG00000017677",0.191562872883051,0.420478732168783,0.628595806695638,1154.76752570793,738.090380243718,1301.94394165304,941.069151910146,1480.40067872921,1337.7208830553,1217.85212306956,689.139260133512,"Wsb1"
"ENSMUSG00000017679",0.233276330055843,0.0929605731517759,0.263577105550664,943.942995785103,718.703390893977,919.47632484117,757.471491281076,985.152316891999,948.445755557089,1050.43333160281,945.798163467693,"Ttpal"
"ENSMUSG00000017686",0.158771241749076,0.399325905664381,0.609280834470366,1022.34005716344,740.859950150824,1435.76443963462,991.427367396976,1132.12350340844,1098.54760556699,1192.02179524327,1261.06421795692,"Rhot1"
"ENSMUSG00000017692",0.00273631947564264,0.986683413399746,0.992904548230686,582.680861595743,414.05070111233,423.045445232088,456.371327849402,460.509717751504,457.728168986247,419.025318071068,543.631850369251,"Rhbdl3"
"ENSMUSG00000017697",-1.4861043461955,0.00390800380644779,0.0564934081825484,16.9507159736943,42.9283335601412,31.080889853786,16.7860718289435,4.45367231867992,14.8452379130675,6.69675165867003,12.125617480355,"Ada"
"ENSMUSG00000017707",0.25993758239805,0.213374388472327,0.425826863725559,3167.66504758413,1823.76178382922,4010.29814918989,2417.19434336787,3333.12836330005,3421.00260352244,3340.72239886797,3584.13043356828,"Serinc3"
