"","log2FoldChange","pvalue","padj","BInt_390","BInt_391","BInt_392","BInt_398","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000035595",-1.01638525844306,0.000576769900526133,0.02725536786605,78.3970613783363,200.793818265177,97.5594598188284,112.25685535606,59.679209070311,70.1025123672631,53.5740132693603,56.5862149083235,"Fam174c"
"ENSMUSG00000036501",1.04361157856015,8.6246027448211e-08,0.000162658524537987,453.431652296324,253.415646500188,380.740900708879,273.822796709641,658.252768700893,783.498667634117,706.028960585498,663.877557049439,"Fam13b"
"ENSMUSG00000036560",1.04475846880246,0.00119464885091106,0.034097433119177,190.695554704061,40.1587636530353,120.870127209168,111.207725866751,207.541130050484,276.286372270978,242.996417328884,232.407668373472,"Lgi4"
"ENSMUSG00000037014",1.97297993627938,8.19196490413725e-06,0.00285110286387072,42.3767899342358,5.53913981421177,21.5839512873514,11.5404243823987,77.4938983450307,109.689813468776,81.3176987124218,53.5548105382348,"Sstr4"
"ENSMUSG00000037112",1.4143489200661,0.000183825435829386,0.0159297342409022,157.853542505029,37.3891937459294,66.4785699650423,40.9160500830498,165.676610254893,285.358462106742,179.855615975709,177.842389711874,"Sik2"
"ENSMUSG00000037341",2.07840168299441,2.8071134902905e-08,8.21174266359646e-05,32.8420121990328,23.5413442104,22.4473093388455,22.0317192754884,96.1993220834864,188.864415671803,84.1877351375661,55.5757467849606,"Slc9a7"
"ENSMUSG00000037868",1.01800337990957,5.8057279901679e-06,0.00243875508414593,155.734703008317,87.2414520738353,136.410572136061,115.404243823987,269.892542512003,315.873673372491,210.469337843915,209.166901536124,"Egr2"
"ENSMUSG00000038729",-1.17080596334143,0.00217430032105435,0.0432690694276032,38.1391109408123,62.3153229098824,49.2114089351612,30.4247551899601,12.4702824923038,25.5667986280607,14.3501821257215,27.2826393307988,"Pakap"
"ENSMUSG00000039878",-1.71857839985725,0.0011645679371542,0.0339543130115126,18.0101357220502,65.0848928169883,12.9503707724108,37.7686616151229,8.01661017362386,12.3710315942229,9.56678808381433,10.1046812336292,"Slc39a5"
"ENSMUSG00000040565",1.01017058294248,2.47882304282203e-06,0.00145027673492041,366.55923293114,204.948173125835,324.622627361765,270.675408241714,642.219548353645,576.490072290787,711.769033435786,424.396611812426,"Btaf1"
"ENSMUSG00000041180",1.28029264654853,5.08116380164398e-06,0.00241039424449879,75.2188021332686,31.8500539317177,74.2487924284888,50.3582154868306,147.861920980173,158.349204406053,160.722039808081,101.046812336292,"Hectd2"
"ENSMUSG00000041216",1.10931883343649,0.0002288794615981,0.0180147637218379,152.556443763249,40.1587636530353,102.739608127793,86.0286181233355,177.256158283461,231.750658531776,229.602914011544,188.957539068866,"Clvs1"
"ENSMUSG00000041261",1.09380100169958,0.00180581686627003,0.0396086217887199,139.843406782978,94.1653768416,132.093781878591,120.649891270532,132.719435096662,456.903433546632,131.064996748256,319.307926982683,"Car8"
"ENSMUSG00000041710",1.7001046491331,0.000103715178727427,0.0118290506672905,29.6637529539651,34.6196238388235,12.9503707724108,4.19651795723588,62.3514124615189,64.3293642899591,77.4909834788961,55.5757467849606,"Trpc5"
"ENSMUSG00000042631",2.02526535177218,0.000423167875123769,0.0241150731953649,14.8318764769825,0,6.90686441195245,6.29477693585382,26.7220339120795,39.5873011015133,34.4404371017316,16.1674899738067,"Xkr7"
"ENSMUSG00000043467",1.09231455764727,8.43903168598731e-05,0.0102153023553413,110.179653829013,78.9327423525177,73.3854343769948,44.0634385509767,141.626779734022,209.482801662174,176.028900742184,125.298047297002,"Zbtb37"
"ENSMUSG00000043635",1.29892093985139,0.00034722126340826,0.0216883545029956,79.4564811266922,18.0022043961882,69.0686441195245,58.7512514013023,146.080452052702,194.637563749107,135.848390790164,81.8479179923965,"Adamts3"
"ENSMUSG00000043648",-1.32424286831871,0.00164506927932909,0.03819346030527,55.0898269145066,121.861075912659,30.217531802292,51.4073449761395,34.7386440857034,27.2162695072904,24.8736490179173,15.1570218504438,"Pld6"
"ENSMUSG00000044749",1.41087325553848,0.00050525115485754,0.0260828478531163,15.8912962253384,13.8478495355294,15.540444926893,5.24564744654485,37.4108474769114,31.3399467053647,33.4837582933502,32.3349799476134,"Abca6"
"ENSMUSG00000047227",1.08684418758569,0.0010050767993835,0.0327901635367642,40.257950437524,12.4630645819765,24.1740254418336,37.7686616151229,64.1328813889909,61.0304225314996,60.2707649280303,60.6280874017752,"Gm527"
"ENSMUSG00000047959",2.24421079275145,5.91887009535095e-06,0.00243875508414593,19.0695554704061,8.30870972131765,6.04350636045839,2.09825897861794,36.5201130131754,56.9067453334253,38.2671523352573,35.3663843177022,"Kcna3"
"ENSMUSG00000048732",1.94099884046983,6.12407428395165e-08,0.000153556788331313,93.2289378553189,22.1565592568471,40.5778284202206,34.621273147196,166.567344718629,242.472219246769,201.859228568482,124.287579173639,"Klhl11"
"ENSMUSG00000050075",-1.32999832213915,0.00196083144027517,0.0410208741832059,47.6738886760153,195.254678450965,65.6152119135483,82.8812296554086,28.5035028395515,20.6183859903715,51.6606556525974,54.5652786615977,"Gpr171"
"ENSMUSG00000050777",-1.32107836076536,0.00190861257471046,0.0404658236442083,26.4854937088974,62.3153229098824,27.6274576478098,34.621273147196,8.01661017362386,15.6699733526823,20.0902549760101,16.1674899738067,"Tmem37"
"ENSMUSG00000051599",2.46537739572604,1.34152520580229e-05,0.00386007383807241,8.47535798684717,2.76956990710588,4.31679025747028,2.09825897861794,32.9571751582314,27.2162695072904,18.1768973592472,20.2093624672584,"Pcdhb2"
"ENSMUSG00000051951",1.5568644641987,4.84453236624708e-07,0.000566874880615792,63.5651849013538,33.2348388852706,58.7083475015958,63.9968988478472,125.593559386774,240.822748367539,184.639010017617,98.0154079662033,"Xkr4"
"ENSMUSG00000053465",1.88287612666663,1.18532388730582e-05,0.00370943436074631,28.6043332056092,23.5413442104,16.4038029783871,7.34390642516279,42.7552542593273,116.287696985695,69.8375530118446,48.5024699214202,"Hs6st3"
"ENSMUSG00000054150",1.72538707298286,0.00033606805086444,0.0215390855377777,5.29709874177948,13.8478495355294,5.18014830896434,12.5895538717076,30.2849717670235,42.0615074203578,20.0902549760101,26.2721712074359,"Syne3"
"ENSMUSG00000054409",1.19363300952114,1.03814172759088e-05,0.00337434511160652,64.6246046497097,36.0044087923765,75.1121504799829,46.1616975295947,97.0900565472223,159.173939845668,132.021675556638,124.287579173639,"Tmem74"
"ENSMUSG00000055333",2.70257320858041,8.39358316128636e-05,0.0102153023553413,10.594197483559,4.15435486065883,3.45343220597623,8.39303591447176,11.5795480285678,110.514548908391,13.3935033173401,37.387320564428,"Fat2"
"ENSMUSG00000056476",1.15441381459235,7.81465140274644e-05,0.00987680041583517,221.418727406382,88.6262370273883,138.137288239049,122.748150249149,338.479096219674,369.481476947457,388.411596202862,176.831921588511,"Med12l"
"ENSMUSG00000056553",1.0757578359418,0.000214812799471798,0.017295386496922,2337.07996487311,594.072745074212,1513.46666426908,1237.97279738458,2821.8467811156,3464.71358182203,3014.4949252099,2681.78239940519,"Ptprn2"
"ENSMUSG00000058626",-2.8210873123447,5.50533578519882e-05,0.00795455408861157,4.23767899342358,62.3153229098824,34.5343220597623,74.4881937409369,5.34440678241591,12.3710315942229,5.7400728502886,1.01046812336292,"Capn11"
"ENSMUSG00000059891",-1.19103878133694,0.0010257827723668,0.0329601659099846,38.1391109408123,51.2370432814588,31.9442479052801,40.9160500830498,20.4868926659276,22.2678568696012,17.2202185508658,10.1046812336292,"Tsks"
"ENSMUSG00000061816",-1.6045510349436,0.00235331755920917,0.0450440892030963,21.1883949671179,26.3109141175059,18.9938771328692,11.5404243823987,4.45367231867992,9.07208983576346,4.78339404190717,7.07327686354044,"Myl1"
"ENSMUSG00000065431",2.19809212979645,0.000440379452888918,0.0248408122617375,15.8912962253384,2.76956990710588,6.04350636045839,1.04912948930897,37.4108474769114,35.463623903439,34.4404371017316,12.125617480355,"Mir186"
"ENSMUSG00000066571",1.46063255513329,0.000138116364187907,0.0138685556637651,182.220196717214,30.4652689781647,76.838866582971,66.0951578264651,254.750056628492,311.749996174417,252.563205412698,162.68536786143,"Garre1"
"ENSMUSG00000066975",-1.41043721419299,0.0014432487362913,0.035883530099016,25.4260739605415,38.7739786994824,16.4038029783871,30.4247551899601,8.90734463735985,10.7215607149932,8.6101092754329,13.136085603718,"Cryba4"
"ENSMUSG00000069804",-1.47181160089609,4.94712033314804e-05,0.00761682948135214,107.001394583946,318.500539317177,80.2922987889472,159.467682374963,73.0402260263508,47.8346554976619,60.2707649280303,57.5966830316864,"Gm10277"
"ENSMUSG00000069917",-1.26741572826449,0.000357338438735697,0.0220355179419197,148.318764769825,675.775057333836,359.156949421527,238.152394073136,138.954576342814,147.62764369106,110.018062963865,192.999411562318,"Hba-a2"
"ENSMUSG00000070167",-1.50891316646912,0.000979433134789409,0.0325450352393761,25.4260739605415,51.2370432814588,18.9938771328692,28.3264962113422,10.6888135648318,9.89682527537832,15.3068609341029,7.07327686354044,"Snora57"
"ENSMUSG00000070883",-1.06015738359854,0.00181194021423745,0.0396086217887199,115.476752570793,397.433281669694,139.000646290543,158.418552885654,74.8216949538227,105.566136270702,98.5379172632876,108.120089199832,"Cfap210"
"ENSMUSG00000071001",-1.68989503229713,0.000566223962952061,0.0271539972615699,15.8912962253384,36.0044087923765,19.8572351843633,29.3756257006512,6.23514124615189,8.2473543961486,11.4801457005772,5.0523406168146,"Hrct1"
"ENSMUSG00000072294",1.34402751526689,6.19571467259182e-06,0.00243875508414593,109.120234080657,88.6262370273883,44.0312606261969,63.9968988478472,178.146892747197,268.863753314444,195.162476909812,129.339919790454,"Klf12"
"ENSMUSG00000073016",1.70924606471668,3.9668982068261e-05,0.0072528122214804,13.7724567286266,13.8478495355294,8.63358051494056,11.5404243823987,27.6127683758155,58.556216212655,31.5704006765873,36.3768524410651,"Uprt"
"ENSMUSG00000073656",-1.33236780965311,0.000194358469893214,0.0162446660169795,78.3970613783363,300.498334920988,115.689978900204,131.141186163621,50.7718644329511,52.783068135351,80.3610199040404,63.659491771864,"Gm10558"
"ENSMUSG00000074283",1.54118715457895,0.00115450560580952,0.0337731373219479,44.4956294309476,9.69349467487059,25.9007415448217,8.39303591447176,64.1328813889909,73.4014541257225,89.9278079878547,32.3349799476134,"Zfp109"
"ENSMUSG00000077637",1.91705985922916,4.5933236695742e-05,0.00739651532553819,10.594197483559,4.15435486065883,11.2236546694227,8.39303591447176,27.6127683758155,25.5667986280607,53.5740132693603,26.2721712074359,"Gm22771"
"ENSMUSG00000077737",-1.82065699991704,0.00136765891734801,0.0351981661543875,14.8318764769825,36.0044087923765,17.2671610298811,23.0808487647973,4.45367231867992,6.59788351691888,12.4368245089586,2.02093624672584,"Snord72"
"ENSMUSG00000078117",1.05697367237351,0.000170200268132144,0.0152530679104773,102.763715590522,52.6218282350118,120.870127209168,98.6181719950432,171.911751501045,256.492721720221,228.646235203163,127.318983543728,"Gm16485"
"ENSMUSG00000078190",-1.16419153013507,0.00115407713453225,0.0337731373219479,108.060814332301,376.6615073664,153.677733165942,130.092056674312,67.6958192439348,62.6798934107293,97.5812384549062,114.18289794001,"Dnm3os"
"ENSMUSG00000081344",-1.01893464980062,0.00268261029390296,0.0481936293537204,33.9014319473887,58.1609680492236,33.6709640082682,40.9160500830498,20.4868926659276,19.7936505507566,22.9602914011544,18.1884262205326,"Gm14303"
"ENSMUSG00000081487",-1.11626935450825,0.00114836387967559,0.0337731373219479,83.6941601201158,236.798227057553,78.5655826859591,107.011207909515,49.8811299692151,47.8346554976619,68.8808742034632,65.6804280185898,"Gm13689"
"ENSMUSG00000081656",-1.5510724676624,0.00152434921657296,0.0370000885005742,21.1883949671179,203.563388172282,71.6587182740067,63.9968988478472,27.6127683758155,23.9173277488309,31.5704006765873,39.4082568111539,"Gm11246"
"ENSMUSG00000081968",-1.34464695975725,0.00156134304393865,0.0374381053377201,23.3072344638297,56.7761830956706,25.9007415448217,33.572143657887,13.3610169560398,18.1441796715269,13.3935033173401,9.09421311026628,"Rpl23a-ps2"
"ENSMUSG00000082062",-1.58216822368787,9.64856025268431e-05,0.011290101970341,38.1391109408123,74.7783874918589,26.7640995963157,49.3090859975216,15.1424858835117,20.6183859903715,16.2635397424844,10.1046812336292,"Ftl2-ps"
"ENSMUSG00000082305",2.53678441995141,7.11517650512932e-05,0.0092991532442796,4.23767899342358,4.15435486065883,4.31679025747028,1.04912948930897,23.1590960571356,29.690475826135,13.3935033173401,13.136085603718,"Gm2420"
"ENSMUSG00000082399",-1.63478378460525,0.000280997565719964,0.019649678380545,21.1883949671179,56.7761830956706,28.4908156993039,26.2282372327242,9.79807910109583,9.07208983576346,14.3501821257215,9.09421311026628,"Gm14036"
"ENSMUSG00000083306",-2.05521330996931,0.00010718255964488,0.0119067613094109,20.128975218762,88.6262370273883,40.5778284202206,62.9477693585382,12.4702824923038,2.47420631884458,19.1335761676287,17.1779580971696,"Gm13868"
