"","log2FoldChange","pvalue","padj","BCH_309","BCH_313","BCH_314","BCH_317","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000073164",0.0737398801190206,0.887550644022773,0.999725012385107,28.3869011084335,14.4778613617199,9.89314605231067,11.0387526841792,23.0811000099071,22.91004204527,4.92562822529458,15.5977904388742,"2410018L13Rik"
"ENSMUSG00000073176",0.0474506353200976,0.83047248898884,0.999725012385107,65.8576105715658,93.6235034724555,91.0169436812582,77.2712687892543,78.475740033684,89.9431280295785,108.363820956481,62.3911617554968,"Zfp449"
"ENSMUSG00000073207",0.0987661227951932,0.747124885033084,0.999725012385107,44.2835657291563,41.5032025702638,34.6260111830873,40.843384931463,42.469224018229,28.8496825755252,34.4793975770621,67.5904252351215,"Ccdc160"
"ENSMUSG00000073236",0.441424378542475,0.0462961207695244,0.907755941382254,65.8576105715658,85.9019774128715,84.0917414446407,67.336391373493,77.5524960332877,125.58097121111,85.7059311201257,123.742470815069,"2500004C02Rik"
"ENSMUSG00000073274",-0.165210428194028,0.644517934583222,0.999725012385107,63.5866584828911,39.5728210553678,37.5939549987805,19.8697548315225,34.1600280146624,36.4863632572819,22.6578898363551,49.9129294043974,"Gm14636"
"ENSMUSG00000073293",0.158918407589482,0.191692880514927,0.991445290930587,395.145663429395,434.335840851598,388.800639855809,335.578081599047,430.231704184668,402.198515905851,406.856891409332,498.089441348049,"Nudt10"
"ENSMUSG00000073295",0.0509730632539865,0.639749372181753,0.999725012385107,448.51303751325,458.465609787797,438.266370117363,471.354739614451,436.694412187442,457.352320829649,444.291665921571,544.882812664672,"Nudt11"
"ENSMUSG00000073374",-0.159838074861455,0.662168545529674,0.999725012385107,57.9092782612044,73.3544975660476,21.7649213150835,45.2588860051346,52.6249080225881,34.7893231057804,64.0331669288296,25.9963173981237,"C030034I22Rik"
"ENSMUSG00000073405",-0.179461077970317,0.708072390083476,0.999725012385107,10.2192843990361,12.5474798468239,10.8824606575417,30.9085075157017,12.925416005548,14.4248412877626,11.821507740707,17.6774958307241,"H2-T-ps"
"ENSMUSG00000073406",0.127720933428784,0.755011061043352,0.999725012385107,24.9804729754215,16.4082428766159,11.8717752627728,27.596881710448,30.4670520130773,23.7585621210207,19.7025129011783,13.5180850470243,"H2-Bl"
"ENSMUSG00000073411",0.0163875991232838,0.901117015376638,0.999725012385107,841.387748853969,809.795045498868,733.08212247622,968.098610402514,1007.25920443234,680.513100752094,793.026144272428,909.871108934328,"H2-D1"
"ENSMUSG00000073412",0.196388740176238,0.605397848167019,0.999725012385107,15.8966646207228,16.4082428766159,16.8183482889281,26.49300644203,24.9275880106996,16.1218814392641,20.6876385462372,24.9564647021987,"Lst1"
"ENSMUSG00000073413",0.781466842254529,0.229385610754495,0.993211295874261,1.13547604433734,4.82595378723997,4.94657302615533,24.2852559051942,13.8486600059442,16.9704015150148,15.7620103209427,13.5180850470243,"Ly6g6d"
"ENSMUSG00000073415",-0.08702318143277,0.805881941474672,0.999725012385107,21.5740448424095,22.1993874213039,23.7435505255456,35.3240085893734,29.543808012681,24.6070821967715,26.5983924165907,15.5977904388742,"Gm10501"
"ENSMUSG00000073418",0.127501686738125,0.231131188065575,0.993211295874261,677.879198469392,631.234755370989,562.920010376477,681.091040613855,776.448204333273,651.663418176569,647.227548803708,712.299096708588,"C4b"
"ENSMUSG00000073421",0.809291116271457,0.0122171082152494,0.878207845819299,45.4190417734936,34.7468672681278,56.3909324981708,46.3627612735526,140.333088060235,56.8508450752996,48.2711566078869,74.8693941065961,"H2-Ab1"
"ENSMUSG00000073422",0.334716932636277,0.158020637498268,0.978985544119528,54.5028501281923,74.3196883234956,39.5725842092427,77.2712687892543,75.7060080324951,77.2153268933174,79.7951772497722,76.949099498446,"Hsd17b8"
"ENSMUSG00000073423",0.0198715310479145,0.864490174549019,0.999725012385107,554.112309636622,428.54469630691,534.229886824776,485.705118103884,565.948572242921,478.565322723418,511.280209785578,473.132976645851,"Zfp414"
"ENSMUSG00000073424",-0.0441535294703301,0.741291688002716,0.999725012385107,334.965433079515,292.452799506742,361.099830909339,282.592068714987,356.372184152965,280.011624997744,281.74593448685,315.075366865259,"Cyp4f15"
"ENSMUSG00000073427",0.145779636066512,0.528112054873863,0.999725012385107,72.6704668375898,52.1203009021917,52.4336740772465,60.7131397629855,69.2433000297212,72.9727265145637,50.2414078980047,69.6701306269714,"Gm4924"
"ENSMUSG00000073433",0.110978656383768,0.460014595208705,0.999725012385107,753.956093439994,802.073519439284,1090.22469496464,1280.49531136479,1010.95218043393,980.040687492106,1123.04323536716,1127.20032238264,"Arhgdig"
"ENSMUSG00000073434",-0.104452484928383,0.789948133673778,0.999725012385107,568.873498213008,472.943471149517,327.463134331483,328.95482998854,430.231704184668,512.506125753447,470.890058338162,165.336578652066,"Wdr90"
"ENSMUSG00000073435",0.845444171610163,0.0113762684479725,0.878207845819299,14.7611885763854,24.1297689361999,20.7756067098524,29.8046322472838,32.3135400138699,32.2437628785282,53.1967848331815,43.6738132288477,"Nme3"
"ENSMUSG00000073436",0.0102442096801372,0.940298782363975,0.999725012385107,361.081382099274,341.67752813659,277.008089464699,269.345565493972,334.214328143454,339.408030300296,307.359201258382,275.560964420111,"Eme2"
"ENSMUSG00000073437",-0.458564984563428,0.0738449027113944,0.948063356982533,53.367374083855,57.9114454468797,58.3695617086329,70.6480171787468,44.3157120190216,45.82008409054,55.1670361232993,29.1158754858985,"D330041H03Rik"
"ENSMUSG00000073448",0.419290382111683,0.0253452745818417,0.907755941382254,87.4316554139752,73.3544975660476,73.209280787099,91.6216472786872,107.096304045969,110.307609847596,123.140705632365,93.5867426332452,"Gm10509"
"ENSMUSG00000073460",-0.506519443850139,0.0565918710191334,0.915353414757672,60.180230349879,47.2943471149517,50.4550448667844,51.8821376156422,38.7762480166439,28.0011624997744,33.4942719320032,47.8332240125475,"Pnldc1"
"ENSMUSG00000073468",0.182961644499727,0.066419370314524,0.93043495852558,750.549665306982,702.65887142214,677.680504583281,612.650773971945,848.461236364183,743.303586357649,785.145139111956,737.255561410787,"Sft2d1"
"ENSMUSG00000073471",0.0508932653543655,0.793571685491933,0.999725012385107,185.082595226987,107.136174076727,139.49335933758,198.697548315225,160.644456068953,168.855495074397,140.872967243425,180.934369090941,"Rsph3a"
"ENSMUSG00000073478",-0.293584603884165,0.235832813096436,0.993211295874261,55.6383261725297,77.2152605958396,64.3054493400194,73.9596429840005,45.2389560194178,77.2153268933174,48.2711566078869,49.9129294043974,"D730003I15Rik"
