"","BCH_309","BCH_313","BCH_314","BCH_317","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000038312",397.416615518069,419.857979489878,387.811325250578,494.536120251227,441.310632189423,378.43995378483,407.842017054391,418.020783761828,"Edem2"
"ENSMUSG00000038319",1110.49557136192,1299.146759525,1017.01541417754,994.591616844544,1075.57926046167,1015.67853067364,974.289262963268,832.922009435882,"Kcnh2"
"ENSMUSG00000038323",342.913765389877,328.164857532318,367.035718540726,302.46182354651,345.29325614821,404.744076133103,373.362619477329,427.379458025153,"1700066M21Rik"
"ENSMUSG00000038324",2921.57986207998,3111.77500201233,3112.38374805694,3412.07845467978,3048.55168930852,3160.73728217151,3039.11261500676,3305.6917203454,"Trpc4ap"
"ENSMUSG00000038331",567.73802216867,416.962407217534,543.133718271856,465.835363272361,486.549588208841,678.816060600593,625.554784612412,500.169146739899,"Satb2"
"ENSMUSG00000038332",1049.1798649677,1028.89334743956,967.549683915983,982.448988891947,988.794324424418,941.857284083322,1070.83157617904,959.784038338726,"Sesn1"
"ENSMUSG00000038335",679.01467451373,730.649403388132,734.071437081452,709.791797592721,653.656752280568,712.756863630622,734.903731213952,712.299096708588,"Tsr1"
"ENSMUSG00000038342",559.789689858309,672.737957941252,577.759729454943,636.936029877139,583.49020825045,560.87177007124,600.926643485939,386.82520288408,"Mlxip"
"ENSMUSG00000038344",322.475196591805,400.554164340918,337.356280383794,316.812202035943,355.448940152569,389.47071476959,401.931263184038,293.238460250835,"Txlng"
"ENSMUSG00000038346",647.221345272284,654.39933354974,561.930695771246,586.157767529915,589.952916253224,609.237414389032,596.986140905703,442.977248464027,"Zfp384"
"ENSMUSG00000038347",87.4316554139752,84.9367866554235,64.3054493400194,61.8170150314034,71.0897880305137,82.3064473478219,88.6613080553025,71.7498360188213,"Tcte2"
"ENSMUSG00000038349",587.041114922405,568.497356136869,489.710729589378,525.444627766929,444.080364190612,449.715640147893,535.908350912051,575.038540846495,"Plcl1"
"ENSMUSG00000038351",2864.80605986311,2280.74575984961,2529.67744557584,2607.35338400312,2421.66901303945,2632.95779505455,2490.39763070894,2114.02053081542,"Sgsm2"
"ENSMUSG00000038352",39.7416615518069,33.7816765106798,43.5298426301669,35.3240085893734,58.1643720249658,32.2437628785282,29.5537693517675,21.8369066144239,"Arl5c"
"ENSMUSG00000038354",309.984960104094,290.522417991846,356.153257883184,322.331578378032,299.131056128395,296.133506437009,319.180708999089,307.796397993784,"Ankrd35"
"ENSMUSG00000038365",1214.95936744095,1260.53912922708,1276.21584074808,1149.13415442305,1220.52856852389,1305.02387650464,1241.25831277423,1349.72879931058,"Fbxo25"
"ENSMUSG00000038366",2936.34105065636,2619.52771571386,2785.90992833068,3034.55311288086,2417.05279303747,2950.30430338533,2911.0462811491,3025.97134514159,"Lasp1"
"ENSMUSG00000038368",559.789689858309,542.437205685773,522.358111562003,471.354739614451,505.014468216766,515.0516859807,556.595989458288,388.90490827593,"Focad"
"ENSMUSG00000038369",884.535838538788,873.497635490435,817.173863920861,927.255225471051,818.917428351502,885.006439008023,948.675996191737,701.900569749339,"Ncoa6"
"ENSMUSG00000038370",2837.55463479901,3550.93679665117,3100.51197279416,2896.56870432862,3732.67549360217,2812.84405111371,3122.84829483677,3466.86888821377,"Pcp4l1"
