"","BInt_390","BInt_391","BInt_392","BInt_398","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000093507",9.66451244868952,11.433149301128,9.49157824502312,12.5677073998305,7.59329758860763,7.3228966984979,9.69360093025833,20.0348861747994,"Gm20627"
"ENSMUSG00000093528",21.2619273871169,43.1918973598169,19.7741213437982,7.73397378451106,18.9832439715191,15.6919214967812,17.7716017054736,7.51308231554979,"Nrg3os"
"ENSMUSG00000093536",145.934137975212,143.549541225274,217.51533478178,176.914650320691,149.967627375001,244.793975349787,226.184021706028,288.001488762742,"Smim17"
"ENSMUSG00000093565",31.8928910806754,64.7878460397254,36.3843832725886,38.6698689225553,63.5938673045889,21.9686900954937,12.1170011628229,15.0261646310996,"Rab26os"
"ENSMUSG00000093577",20.295476142248,24.1366485246036,30.0566644425732,35.7696287533637,36.0681635458862,34.5222272929187,45.2368043412055,50.0872154369986,"Gm20632"
"ENSMUSG00000093579",33.8257935704133,24.1366485246036,8.70061339127119,11.6009606767666,14.2374329786393,9.41515289806872,11.3092010853014,2.50436077184993,"Gm20036"
"ENSMUSG00000093593",212.619273871169,377.293926937224,162.147795019145,220.418252858565,181.289979928007,170.518880265022,168.022416124478,167.792171713945,"Gm20683"
"ENSMUSG00000093606",43.4903060191028,64.7878460397254,52.9946452013791,44.4703492609386,67.3905160988927,35.5683553927041,36.3510034884687,36.313231191824,"B130034C11Rik"
"ENSMUSG00000093629",73.4502946100403,49.5436469715547,60.1133288851464,63.8052837222163,46.5089477302217,66.9521983862665,59.777205736593,85.1482662428976,"Prox2os"
"ENSMUSG00000093637",29.9599885909375,21.5959486799085,24.5199104663097,33.8361353072359,35.1190013473103,35.5683553927041,28.2730027132535,27.5479684903492,"Gm20636"
"ENSMUSG00000093656",17.3961224076411,8.89244945643289,7.11868368376734,17.4014410151499,9.49162198575953,12.553537197425,17.7716017054736,21.2870665607244,"Gm20628"
"ENSMUSG00000093661",419.439840273125,824.457099603564,431.0758452948,485.306854978069,385.359852621837,322.207454733907,363.510034884687,326.819080726416,"Eif4e3"
"ENSMUSG00000093668",26.0941836114617,88.9244945643289,27.6837698813174,38.6698689225553,29.4240281558546,17.784177696352,8.8858008527368,8.76526270147476,"Pou5f2"
"ENSMUSG00000093674",4389.62155419478,14227.9191302926,5074.03953681861,6256.78479166945,7317.09138882202,5010.95359797213,3912.98357551428,3458.52222592475,"Rpl41"
"ENSMUSG00000093677",78.2825508343851,90.1948444866765,72.7687665451772,69.6057640605996,60.746380708861,59.6293016877686,63.0084060466791,63.8611996821732,"Gm20712"
"ENSMUSG00000093682",28.0270861011996,13.9738491458231,15.8192970750385,6.76722706144718,13.2882707800633,14.6457933969958,14.5404013953875,18.7827057888745,"Gm20681"
"ENSMUSG00000093720",22.2283786319859,34.299447903384,18.9831564900462,12.5677073998305,25.6273793615507,21.9686900954937,18.5794017829951,12.5218038592497,"Gm20635"
"ENSMUSG00000093738",6.76515871408266,2.54069984469511,15.8192970750385,16.434694292086,9.49162198575953,7.3228966984979,12.1170011628229,27.5479684903492,"AI606473"
"ENSMUSG00000093739",32.8593423255444,60.9767962726827,37.1753481263405,42.5368558148108,32.2715147515824,28.2454586942062,23.4262022481243,17.5305254029495,"Gm20692"
"ENSMUSG00000093751",16.4296711627722,71.1395956514631,17.4012267825424,15.4679475690221,30.3731903544305,9.41515289806872,12.9248012403444,1.25218038592497,"Gm3307"
"ENSMUSG00000093798",17.3961224076411,48.2732970492071,57.7404343238906,39.6366156456192,69.2888404960446,42.891252091202,36.3510034884687,41.3219527355239,"Gm8355"
"ENSMUSG00000093803",1131.71440774154,1919.49873266716,806.784150826965,1163.96305456891,1401.91256729668,1142.37188496567,885.348884963594,760.073494256454,"Ppp2r3d"
