"","log2FoldChange","pvalue","padj","BInt_390","BInt_391","BInt_392","BInt_398","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000036023",0.137632024880699,0.397426394085699,0.772060686770402,236.780554992893,207.067037342652,279.21059337443,244.586920935162,261.019604608387,282.454586942062,247.186823721587,277.984045675342,"Parp2"
"ENSMUSG00000036026",0.0414361849987916,0.803142767873253,0.942199684198756,2832.6685987109,3117.4387094409,1980.57599379482,2518.37521358141,2927.21622040824,2714.70241894315,2494.48663938648,2613.3004654254,"Tmem63b"
"ENSMUSG00000036030",-0.211921847648502,0.514006906770486,0.827470837559693,52.1883672229234,113.061143088932,53.785610055131,84.1069649065578,74.0346514889244,82.6441198830477,58.9694056590715,43.8263135073738,"Prtg"
"ENSMUSG00000036036",-0.00458635873584546,0.979052215031168,0.992278462843071,149.799942954687,146.090241069969,156.611041042881,174.981156874563,166.103384750792,168.426624065452,140.557213488746,151.513826696921,"Zfp57"
"ENSMUSG00000036040",-0.0540997626263923,0.793164327849672,0.939689599494496,134.336723036784,144.819891147621,135.254989991579,157.579715859413,162.306735956488,153.780830668456,131.671412636009,101.426611259922,"Adamtsl2"
"ENSMUSG00000036046",-0.0200447350354689,0.881245688082515,0.964161979021131,3202.8194254957,3217.79635330636,2701.93594041658,3259.86995017141,3494.81521515666,2899.86709260517,2832.14707179047,2982.69367927327,"5031439G07Rik"
"ENSMUSG00000036052",-0.10485499871311,0.479381066480508,0.81324801013371,3613.56120456501,3066.624712547,2584.08217720754,3019.1500161285,2641.51839863688,2716.79467514272,2845.07187303082,3219.35577221309,"Dnajb5"
"ENSMUSG00000036053",0.441166263968905,0.0717544240417991,0.55592834797047,450.366280108931,292.180482139938,495.934963302458,377.997968717978,344.545878083071,531.43307469099,651.086862482351,671.168686855781,"Fmnl2"
"ENSMUSG00000036054",0.211332011449172,0.10721726597017,0.582151668975057,1695.15548350014,1425.33261287396,1296.39139529941,1425.95141651923,1700.89865984811,1626.72919516632,1681.0319613223,1755.5569010668,"Sugp2"
"ENSMUSG00000036057",0.148572145842345,0.383568913717689,0.765412953174703,1497.99942954687,1110.28583213176,945.993965087304,1038.28598057061,1292.75891446045,1219.78536434979,1231.89511822033,1346.09391486934,"Ptpn23"
"ENSMUSG00000036061",0.147625587576206,0.436800027926246,0.794369477521332,243.545713706976,166.41583982753,245.990069516849,223.318493027757,217.358143473893,223.871413354079,256.072624574324,280.488406447192,"Smug1"
