"","log2FoldChange","pvalue","padj","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000053461",-0.0517297399393273,0.919348010482303,0.991604214799901,12.2530903154269,4.5198439305903,16.5761813043066,24.1516471517955,14.2183164756062,9.80977493756309,14.2550459878082,16.9793743821016,"Hhipl2"
"ENSMUSG00000053465",0.194392279287466,0.663804978442075,0.951484251967397,17.3585446135214,50.8482442191409,76.7738923567885,96.6065886071822,42.6549494268185,115.264855516366,69.3745571406668,47.941762961228,"Hs6st3"
"ENSMUSG00000053470",0.20729974215761,0.293798123857939,0.922113547260711,388.014526655185,439.554822249907,609.82898587949,704.42304192737,658.485781776511,687.501726874213,635.775051056247,488.406710167511,"Kdm3a"
"ENSMUSG00000053475",0.242851571858164,0.327207488810103,0.922113547260711,114.362176277318,122.035786125938,137.844034004234,253.592295093853,184.83811418288,183.115798834511,159.656515063452,211.742786412091,"Tnfaip6"
"ENSMUSG00000053477",0.107248116747913,0.430196074037942,0.923486103445034,7877.71598195987,5946.98465167419,6245.73062934373,5521.33489053548,7029.1802076278,5852.34823150118,7224.45730662122,7464.93200775455,"Tcf4"
"ENSMUSG00000053483",-0.127673334083457,0.235224170343883,0.922113547260711,819.935960273983,844.080854037739,816.595036885841,874.826330165039,838.880672060764,795.409251187407,770.722819740832,663.194387630321,"Usp21"
"ENSMUSG00000053510",-0.0195933480502223,0.87212739841604,0.984514320479956,1940.07263327592,1882.51499709086,2288.38545058927,2549.34053268953,2145.18849825708,2186.76232983177,2237.09188368671,1971.6050017805,"Nrdc"
"ENSMUSG00000053519",0.0424575758037485,0.687428659784857,0.956859323023769,507.482157230597,533.341583809656,527.820509952921,555.487884491298,555.402987328366,524.822959159625,508.42997356516,598.273250286992,"Kcnip1"
"ENSMUSG00000053536",0.201836601024902,0.0475142327900058,0.922113547260711,1234.49884927926,1216.96797831144,1434.27589812,1345.78344962505,1450.26828051183,1424.86980968104,1494.87915592149,1649.99567524893,"Cstf2t"
"ENSMUSG00000053550",0.0569276823874794,0.595979686100275,0.942423450319236,1748.10755166757,1844.09632368084,1944.64779617365,2142.78780563431,2122.97237876395,2058.41777439865,2040.37224905495,1762.85857555349,"Shisa7"
"ENSMUSG00000053552",-0.342217892219366,0.10493218930485,0.922113547260711,302.242894447197,258.761065026295,188.445008512117,202.605484440063,216.829326252994,221.537417339966,175.812233849635,135.834995056813,"Ebf4"
"ENSMUSG00000053553",-0.384359947005705,0.00564042629891452,0.922113547260711,271.610168658629,254.241221095705,250.387580754526,211.997791665761,182.172179843704,189.655648792886,204.322325825251,182.777971289682,"3110082I17Rik"
"ENSMUSG00000053559",-0.206457205123415,0.588356131044708,0.940532412674674,30.6327257885672,28.2490245661894,19.1934730891971,26.8351635019951,16.8842508147823,15.5321436511416,22.8080735804932,35.956322220921,"Smagp"
"ENSMUSG00000053560",-0.515651947753139,0.0753885098704623,0.922113547260711,556.494518492305,569.500335254378,418.766685582483,177.112079113167,341.239595414548,317.182722981206,321.213702925279,225.725800609115,"Ier2"
"ENSMUSG00000053565",-0.133063942250139,0.373528801322536,0.922113547260711,2124.89007886695,1794.37804044435,1436.02075930993,1439.70652188203,1523.13715244931,1415.06003474348,1492.97848312312,1766.85372246693,"Eif3k"
"ENSMUSG00000053574",0.186397853791272,0.554531344071522,0.932520803601401,43.906906963613,25.9891026008942,35.7696543935037,41.5945034280923,56.8732659024247,46.5964309534247,28.5100919756165,34.9575354925621,"4930563E22Rik"
"ENSMUSG00000053580",0.13210159404074,0.185055182817058,0.922113547260711,1946.19917843364,2163.87528177011,2458.50941660716,2262.20428321818,2325.58338854133,2511.30238401615,2458.52026469733,2383.10513386438,"Tanc2"
"ENSMUSG00000053581",0.100294681167711,0.331043951485838,0.922113547260711,851.589776922169,856.510424846863,991.953586473505,920.44610811843,987.284350274903,1051.28088080884,921.8263072116,920.881363546922,"Zfand2a"
"ENSMUSG00000053600",0.226355410379166,0.370679583985747,0.922113547260711,63.3076332963723,64.4077760109118,65.4322946222629,61.7208760545886,72.8688719374816,46.5964309534247,95.0336399187216,84.896871910508,"Zfp472"
"ENSMUSG00000053604",0.0612306550575945,0.70688198924693,0.960358746538929,208.302535362257,184.183640171555,247.770288969635,249.567020568554,257.706986120362,219.902454850373,254.690154982174,195.762198758348,"Rpia"
"ENSMUSG00000053617",-0.0836811619203305,0.477614095469049,0.930847379240234,838.315595747123,995.495625712514,1040.80969979146,940.572480744927,908.194964879344,1018.58163101697,847.700068074997,824.997837624466,"Sh3pxd2a"
"ENSMUSG00000053626",0.595898341748802,0.0372130902076715,0.922113547260711,31.6538166481861,41.8085563579603,41.0042379632847,33.5439543774938,53.3186867835231,43.326505974237,48.467156358548,79.9029382687134,"Tll1"
"ENSMUSG00000053641",0.25016690279928,0.141741853054572,0.922113547260711,538.114883019164,734.474638720924,875.920317343359,876.168088340139,833.548803382412,1032.47881217851,946.535053590467,783.048795033391,"Dennd4a"
"ENSMUSG00000053644",0.0676581402540953,0.504909136223802,0.932037477529552,1547.97374318226,1796.63796240965,1630.57278198679,1620.8438755205,1626.21994689746,1791.91888859486,1595.61481423534,1898.6935706103,"Aldh7a1"
"ENSMUSG00000053646",0.0135179738069401,0.896234536141563,0.987964547737696,1595.96501358435,1916.41382657029,1825.12480466365,1775.14606565697,1786.17600724802,1991.38431232531,1660.23768938007,1739.88648080123,"Plxnb1"
"ENSMUSG00000053647",-0.371329038025789,0.33078317398806,0.922113547260711,79.6450870502748,53.1081661844361,26.1729178489052,37.5692289027931,28.4366329512123,51.5013184222062,45.6161471609864,25.9684549373319,"Gper1"
"ENSMUSG00000053684",0.278904895144802,0.107532622578454,0.922113547260711,100.066904242653,148.024888726832,150.058062333723,134.175817509975,155.512836451942,170.03609891776,162.507524261014,157.808303080709,"Kics2"
