"","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000042632",445.195614793844,454.244315024326,348.972237985402,406.552727055225,370.564873145486,428.360172273588,384.886241670822,375.543809862953,"Pla2g6"
"ENSMUSG00000042641",22.463998911616,20.3392976876564,39.2593767733577,33.5439543774938,41.7663046470931,36.7866560158616,25.6590827780548,25.9684549373319,"Rgsl1"
"ENSMUSG00000042642",584.063971702015,637.297994213233,588.890651600366,535.361511864801,551.848408209464,534.632734097188,472.317190396046,523.364245660073,"Flad1"
"ENSMUSG00000042644",137.847266048553,94.9167225423964,85.4981983064235,114.049444883479,102.194149668419,129.162036677914,89.3316215235983,62.9235638866118,"Itpr3"
"ENSMUSG00000042647",83.7294504887504,76.8373468200352,70.6668781920439,73.7966996304864,82.6439645144608,78.4781995005047,84.5799395276622,54.9332700597405,"Acad12"
"ENSMUSG00000042650",826.062505431696,935.607693632193,1106.24199441372,1059.9889583288,1023.71878624364,1170.63314254919,1035.86667511407,1308.41061415018,"Alkbh5"
"ENSMUSG00000042659",136.826175188934,124.295708091233,121.267852699927,142.226366560574,149.292322993865,118.534780495554,138.749114281334,128.8434879583,"Arrdc4"
"ENSMUSG00000042660",265.483623500916,233.901923408048,201.53146743657,228.098889766958,183.060824623429,208.457717423216,199.570643829315,205.750066041937,"Wdr55"
"ENSMUSG00000042662",512.587611528692,453.114354041678,419.639116177446,418.628550631123,358.12384622933,438.987428455948,392.48893286432,241.706388262858,"Dusp15"
"ENSMUSG00000042670",321.643620779956,307.349387280141,337.630640250877,403.869210705026,368.787583586035,387.486110033742,322.164039324466,523.364245660073,"Immp1l"
"ENSMUSG00000042671",3087.77875948758,1780.81850865258,1709.96396612847,1847.60100711236,1657.32251418784,1792.73636983965,1593.71414143696,1681.95685055642,"Rgs8"
"ENSMUSG00000042672",103.13017682151,176.273913293022,100.329518420803,144.909882910773,97.7509257697924,144.694180329056,133.04709588621,118.855620674711,"Dcst1"
"ENSMUSG00000042675",4122.14380028153,3322.08528898387,2754.26338829979,2604.35261786862,2599.28598069675,2731.20483886652,2645.73653533721,2240.27863170905,"Ypel3"
"ENSMUSG00000042677",19.4007263327592,23.7291806355991,18.3210424942336,25.4934053268953,4.44322389862693,15.5321436511416,12.3543731894338,17.9781611104605,"Zc3h12a"
"ENSMUSG00000042680",128.657448311982,251.981299130409,300.988555262409,366.299981802232,363.455714907683,355.604341486662,303.157311340722,252.693042274806,"Garem1"
"ENSMUSG00000042682",2165.7337132517,2517.5530693388,2256.97794917059,2403.08889160366,2445.55043380426,2354.34598501514,2422.40748152821,2815.57978724379,"Selenok"
"ENSMUSG00000042684",59.2232698578966,62.1478540456167,65.4322946222629,73.7966996304864,70.2029375983055,46.5964309534247,73.1759027374156,51.9369098746637,"Npl"
"ENSMUSG00000042686",206.260353643019,310.739270228083,330.651195491168,301.895589397444,298.58464598773,314.730279246816,324.064712122841,297.638445050957,"Jph1"
"ENSMUSG00000042688",513.608702388311,761.593702304466,795.656702606717,991.559291398717,883.312911047033,937.650987782072,972.194136368522,949.846178669331,"Mapk6"
"ENSMUSG00000042694",218.513443958446,189.833445084793,152.675354118613,131.492301159776,146.626388654689,165.131211448979,175.812233849635,179.781611104605,"Stn1"
"ENSMUSG00000042699",1051.72358540747,1308.49481790589,1472.6628442984,1551.07245041531,1382.7312772527,1467.37883441048,1396.04417040602,1305.41425396511,"Dhx9"
"ENSMUSG00000042700",3317.52420290183,4396.67818348172,5273.84294655439,5263.71732091633,5163.02617020449,5393.7412531701,5572.77264483383,4614.3946850182,"Sipa1l1"
"ENSMUSG00000042705",288.968713272151,395.486343926652,375.145155834307,375.692289027931,358.12384622933,326.175016673973,387.737250868384,421.487999367463,"Commd10"
"ENSMUSG00000042707",47.9912704020887,42.9385173406079,30.5350708237227,33.5439543774938,51.5413972240724,41.6915434846431,37.0631195683014,36.95510894928,"Dnali1"
