"","BCH_309","BCH_313","BCH_314","BCH_317","BInt_390","BInt_391","BInt_392","BInt_398","gene"
"ENSMUSG00000066551",2661.44285530892,2591.00422153308,2830.48179976871,2480.01265595437,2776.96216313449,3633.07204570973,3384.75571256309,2822.57491723768,"Hmgb1"
"ENSMUSG00000066554",61.2183736698738,44.3665106426897,26.5557981861186,32.7259402022845,54.3318684091531,31.7298868620937,47.6148026506571,29.0059080793383,"Gm10167"
"ENSMUSG00000066568",1069.7651398922,1140.21932351713,1046.66473540461,1108.59122435239,1020.23175123854,657.07307376919,1027.82298135556,909.185187728224,"Lsm14a"
"ENSMUSG00000066571",245.911094233222,236.029836619109,250.906506999879,214.763982577492,173.057062340265,29.0857296235859,73.0640937225601,63.0128347930452,"Garre1"
"ENSMUSG00000066595",213.745508067695,254.663771089039,181.312001408672,163.629701011423,165.007896650021,126.919547448375,169.114643897162,154.031373938555,"Flvcr1"
"ENSMUSG00000066607",2783.87960264867,2798.63949134087,2971.50224530879,3437.24640687119,3339.39761574035,3207.36273030997,2267.44974001922,3689.7515484372,"Insyn1"
"ENSMUSG00000066613",202.331912976701,212.071920872057,148.346182970731,170.788500430672,215.315182214051,171.870220503008,212.624722181383,168.034226114787,"Zfp932"
"ENSMUSG00000066621",2435.2461525965,2336.34045044404,2574.08098969584,3251.1176219707,3142.19305632935,3990.03327290828,2392.23336075888,3070.62544150236,"Tecpr1"
"ENSMUSG00000066637",37.3535839341603,36.3805387270056,46.7015761204155,46.0208534094626,57.350305542995,59.4935378664257,55.0033065102419,70.0142608811614,"Ttc32"
"ENSMUSG00000066640",932.80199880028,898.865505620893,846.122673240469,1058.47962841764,890.438954483343,858.029023895784,596.005978006501,643.130996379811,"Fbxl18"
"ENSMUSG00000066643",635.010926880724,724.94878390155,652.906348506985,592.134980535085,601.675135345807,399.267743014679,651.830229390031,474.09656653815,"Wdr35"
"ENSMUSG00000066687",405.701425507129,489.806277495294,430.387074050888,541.000698969016,479.931504280852,485.202853266183,318.52661083543,356.072526767049,"Zbtb16"
"ENSMUSG00000066705",2589.84848610178,2210.3395602188,2852.45901206067,2680.45903969336,2898.70579419945,3417.57323077134,2934.87792200171,3313.67494713268,"Fxyd6"
"ENSMUSG00000066721",221.008704943782,168.592740442221,229.845011886751,261.807521618276,293.794547693939,437.608022973042,205.236218321798,312.063562784605,"Zfp575"
"ENSMUSG00000066735",834.230041196246,978.725224777735,866.268451174765,893.827241774895,754.60928346046,556.595098705894,864.454951571413,672.136904459149,"Vkorc1l1"
