"","log2FoldChange","pvalue","padj","BCH_309","BCH_313","BCH_314","BCH_317","BInt_390","BInt_391","BInt_392","BInt_398","gene"
"ENSMUSG00000108880",1.61206248821035,0.00282527889520201,0.0321679730843835,173.279125472355,207.635269807788,290.282345689641,379.416369220236,326.997356166199,1647.30995959036,580.408025414045,658.134052282917,"Gm44560"
"ENSMUSG00000108893",1.64677746221238,0.000649553429473342,0.016147714847839,13.4887941984468,35.4932085141518,12.8200405036435,25.5671407830348,28.1720799158572,138.81825502166,36.1215744246364,73.0148720617826,"Gm44927"
"ENSMUSG00000108920",1.39576136939432,3.34776240344261e-05,0.00407005954059993,81.9703647444072,107.366955755309,144.683314255405,173.856557324636,196.19841369972,638.563973099636,239.71590299986,265.053987621539,"Gm44678"
"ENSMUSG00000108953",1.30982632147675,0.00232154010121987,0.0295029054530025,18.6767919670801,16.8592740442221,12.8200405036435,48.0662246721054,46.2827027189082,95.1896605862811,36.9425192979236,61.0124273392978,"Gm45129"
"ENSMUSG00000108956",1.50705264224721,0.000157637297015247,0.00850675473441046,35.2783848267069,36.3805387270056,29.3029497226136,71.5879941924973,52.3195769865919,228.719601130925,93.5877155547399,117.023836044227,"Gm45179"
"ENSMUSG00000109010",1.9050841590985,0.000933796978365486,0.0196177766180597,5.18799776863337,2.66199063856138,6.41002025182173,8.18148505057113,11.0676028240867,35.6961227198554,14.7770077191695,23.0046857180959,"Gm45027"
"ENSMUSG00000109094",1.16253552873978,0.00642164112333966,0.0496521640500866,24.9023892894402,19.5212646827835,19.2300607554652,41.930110884177,34.2089541835408,117.664997113597,46.79385777737,39.0079453480756,"Gm44587"
"ENSMUSG00000109118",1.58418185640427,0.00117900861479188,0.0223006280627302,10.3759955372667,19.5212646827835,9.15717178831676,8.18148505057113,22.1352056481735,70.0701668204569,22.9864564520414,29.0059080793383,"Gm32031"
"ENSMUSG00000109162",1.46163947093436,5.78007149023388e-05,0.00526388744701909,63.2935727773271,92.2823421367946,69.5945055912074,139.085245859709,165.007896650021,473.304145692898,121.499841246504,246.050116810939,"2900027M19Rik"
"ENSMUSG00000109239",2.32756331003197,0.00298010256604425,0.03318169753334,18.6767919670801,27.5072365984676,28.387232543782,27.6125120456775,41.2519741625051,327.875497574968,27.0911808184773,118.024039771101,"Gm45176"
"ENSMUSG00000109353",1.76672599221642,7.58944292131034e-07,0.00041815382289026,46.6919799177003,62.1131148997656,77.8359602006925,86.9282786623182,111.682173952148,452.150887784835,164.188974657438,206.041967735989,"Gm45183"
"ENSMUSG00000109385",2.07787067404814,0.000449298427445103,0.0137036020370756,5.18799776863337,3.54932085141518,2.74715153649503,12.2722275758567,11.0676028240867,43.6285944353788,21.344566705467,24.0048894449696,"Gm44518"
"ENSMUSG00000109413",1.60852177451172,0.0017099469780844,0.0257565853510493,20.7519910745335,20.4085948956373,6.41002025182173,21.4763982577492,27.1659342045766,113.698761255836,22.1655115787542,49.009982616813,"Gm45165"
"ENSMUSG00000109416",1.48128716679681,0.000216963793589832,0.00988197758537154,28.0151879506202,24.8452459599062,23.8086466496236,38.8620539902128,56.3441598317143,165.259827406738,50.0776372705187,53.0107975243079,"Gm44863"
"ENSMUSG00000109505",1.0595815226631,0.000195078374799503,0.00949018411453419,96.4967584965807,111.803606819578,107.138909923306,164.652386642744,156.958730959776,411.166450587964,224.938895280691,210.042782643484,"Gm44677"
"ENSMUSG00000109562",2.3023097933447,0.00307456705406439,0.0335979560354573,18.6767919670801,10.6479625542455,31.134384080277,44.9981677781412,38.2335370286633,325.23134033646,63.2127552431138,94.019150326131,"Gm45178"
"ENSMUSG00000109574",2.0542865945489,0.000487533994432644,0.0140906110251086,10.3759955372667,21.2959251084911,6.41002025182173,8.18148505057113,22.1352056481735,120.309154352105,16.4188974657438,36.0073341674544,"B230206I08Rik"
"ENSMUSG00000109625",1.12171188817615,0.000972988148912232,0.0201112312533864,37.3535839341603,39.0425293655669,67.763071233544,95.1097637128893,87.5346768814133,207.566343222863,105.080943780761,122.024854678596,"3110080E11Rik"
"ENSMUSG00000109648",1.90059551249969,6.85756922609661e-05,0.00576981686609508,26.9775883968935,8.87330212853794,21.9772122919602,27.6125120456775,28.1720799158572,158.649434310468,46.79385777737,86.0175205111411,"Svet1"
"ENSMUSG00000109754",1.70180972101662,0.00214201449011412,0.0286701524612831,14.5263937521734,5.32398127712276,12.8200405036435,11.2495419445353,18.110622803051,60.8156164856796,10.6722833527335,54.0110012511816,"Gm39214"
"ENSMUSG00000109792",-2.12201331408167,0.000114708490381537,0.00731433638692879,25.9399888431668,30.169227237029,19.2300607554652,22.4990838890706,10.0614571128061,0,6.56755898629754,5.00101863436867,"Gm45426"
"ENSMUSG00000109807",2.35569699248603,5.24156117217519e-05,0.00502954296745799,4.1503982149067,4.43665106426897,3.6628687153267,17.3856557324636,14.0860399579286,60.8156164856796,26.2702359451901,50.0101863436867,"Gm45244"
"ENSMUSG00000110038",2.06117998914922,0.000427025714401443,0.0135568758401053,6.22559732236004,1.77466042570759,4.57858589415838,9.20417068189252,17.1044770917704,39.6623585776171,13.1351179725951,21.0042782643484,"Gm45570"
"ENSMUSG00000110050",1.4671753144741,0.00370282266774509,0.0369633028434168,8.30079642981339,23.9579157470524,32.9658184379403,27.6125120456775,24.1474970707347,145.428648117929,47.6148026506571,42.0085565286968,"Gm45259"
"ENSMUSG00000110079",1.6768840190463,0.00217513480421447,0.0288890376796137,7.26319687608672,8.87330212853794,14.6514748613068,40.9074252528556,22.1352056481735,113.698761255836,36.9425192979236,57.0116124318028,"Gm45292"
"ENSMUSG00000110156",1.42665604486066,0.00113200747943897,0.0218224466690944,30.0903870580735,19.5212646827835,11.9043233248118,31.7032545709631,29.1782256271378,120.309154352105,45.9729129040828,56.0114087049291,"Gm42067"
"ENSMUSG00000110159",1.07644547543788,0.000830838427076044,0.0183182073955474,35.2783848267069,53.2398127712276,43.9544245839204,75.6787367177829,87.5346768814133,182.446849457039,85.378266821868,86.0175205111411,"Gm45501"
"ENSMUSG00000110458",-1.49200540842631,0.00212433573292828,0.0285923201878763,22.8271901819868,31.0565574498828,18.3143435766335,33.7486258336059,11.0676028240867,9.25455033477733,13.9560628458823,3.0006111806212,"Gm21769"
"ENSMUSG00000110790",-1.20630471899193,0.000128829591745693,0.00778534876108416,67.4439709922338,60.338454474058,71.4259399488707,71.5879941924973,45.2765570076276,17.1870220503008,22.1655115787542,32.0065192599595,"Gm47079"
"ENSMUSG00000110945",1.13366525421226,0.000451157796895084,0.0137164670458605,58.1055750086937,38.1551991527131,47.6172932992471,52.1569671973909,74.4547826347654,187.735163934054,72.2431488492729,98.0199652336259,"Gm9856"
"ENSMUSG00000111361",1.50432461187774,0.00429087474798931,0.0399363613939253,6.22559732236004,9.76063234139173,7.32573743065341,21.4763982577492,19.1167685143316,62.1376951049335,18.8817320856054,28.0057043524645,"Gm47445"
