"","log2FoldChange","pvalue","padj","BCH_309","BCH_313","BCH_314","BCH_317","BInt_390","BInt_391","BInt_392","BInt_398","gene"
"ENSMUSG00000090026",-0.0957567518781752,0.847920424097571,NA,17.6391924133535,11.5352927670993,11.9043233248118,10.2268563132139,17.1044770917704,13.220786192539,9.8513384794463,8.00162981498987,"Gm15996"
"ENSMUSG00000090031",-0.13442767214778,0.690053651461523,0.820588760493129,56.0303759012404,86.071030646818,33.881535616772,43.9754821468198,70.4301997896429,48.9169089123944,43.5100782842212,38.0077416212019,"4732440D04Rik"
"ENSMUSG00000090035",-0.473951431976051,0.142115738213261,0.308899726893483,63.2935727773271,51.46515234552,52.1958791934055,96.1324493442107,55.3380141204337,26.4415723850781,62.3918103698266,43.0087602555706,"Galnt4"
"ENSMUSG00000090050",0.414274052735182,0.265383569186677,0.456127872751804,21.7895906282602,23.9579157470524,24.7243638284552,12.2722275758567,28.1720799158572,27.763651004332,22.9864564520414,32.0065192599595,"Gm16339"
"ENSMUSG00000090053",-1.36971206454773,0.00026356041373121,0.0106690325480099,89.233561620494,114.465597458139,96.150303777326,85.9055930309968,62.381034099398,52.8831447701562,14.7770077191695,21.0042782643484,"Pakap"
"ENSMUSG00000090061",-0.0129137739501009,0.934212266327262,0.969306442121855,547.852564367684,510.214872390931,622.68768160554,568.613211014693,498.042127083903,688.802960631284,522.941884283941,523.106549154963,"Nwd2"
"ENSMUSG00000090063",0.0260457924051757,0.898533936727157,0.950556791065376,304.016669241915,403.735246848476,297.608083120295,223.968153259385,383.341515997914,271.02611694705,310.317162102559,287.058469612762,"Dlx6os1"
"ENSMUSG00000090066",0.0888157817090908,0.784183757485281,0.880016989346163,38.3911834878869,55.0144731969352,57.6901822663956,32.7259402022845,32.1966627609796,51.5610661509023,42.689133410934,70.0142608811614,"1110002E22Rik"
"ENSMUSG00000090069",0.0290810845830783,0.912478582916681,0.957951042049965,59.1431745624204,52.3524825583738,80.5831117371875,54.2023384600337,69.4240540783623,76.6805599167264,50.8985821438059,56.0114087049291,"E430024P14Rik"
"ENSMUSG00000090071",-0.196469794967772,0.305273649894768,0.496928174030831,7691.72549177583,6544.06031979673,8483.20394469664,9448.59254777833,9091.53264713162,6100.07074923751,5145.68246576412,7734.57541991458,"Cdk5r2"
