"","BCH_309","BCH_313","BCH_314","BCH_317","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000042505",145.614137260056,158.677041901086,138.494124973253,151.593289647753,139.780915075551,132.714087598423,164.434647727321,193.336441062797,"Sdhaf3"
"ENSMUSG00000042506",3495.77201861909,3461.80413080868,3695.89223703132,3284.52127570132,2321.53617695409,3248.79770535652,3429.87421774665,3399.39239087236,"Usp22"
"ENSMUSG00000042507",389.337090404548,447.82187380973,407.335661686038,331.483993363087,165.19562690747,329.087778191212,348.800767906439,353.383163796901,"Mideas"
"ENSMUSG00000042508",778.674180809096,852.448330657498,676.177198398822,651.851145485339,469.194679973879,610.700598217134,722.515876377624,912.906506475327,"Dmtf1"
"ENSMUSG00000042510",68.1598089302392,42.3138778402895,67.8892769476729,80.8497544788017,43.0095123309389,57.1857450627352,54.8115492424405,46.0934561474218,"AA986860"
"ENSMUSG00000042514",43.3744238646977,71.4046688554885,35.3024240127899,49.5204746182661,42.0320234143267,47.4749581652896,61.4553733930393,49.9345774930403,"Klhl14"
"ENSMUSG00000042515",89.847020862588,74.0492862205066,57.9321829953476,46.488608825311,31.2796453315919,47.4749581652896,51.489637167141,85.7850433854795,"Pwwp3b"
"ENSMUSG00000042520",1569.74105415096,1749.8551565203,1589.51427093485,1612.9526018521,1272.69056942915,1342.24654449137,1498.18234596004,1583.82236817669,"Ubap2l"
"ENSMUSG00000042523",1669.91531879086,1717.23820901841,1642.92050213369,1711.99355108863,1149.526965936,1540.77818772804,1926.70900367366,2006.34571619472,"Dnal1"
"ENSMUSG00000042524",1012.06989017628,851.566791535826,959.501780860444,1021.73877222586,1023.43089569302,900.945228818564,906.881996556742,823.280341744229,"Sun2"
"ENSMUSG00000042529",197.250356146601,247.712493190028,190.995165812787,252.655482746255,232.642362153715,211.479359099926,209.280460743864,207.420552663398,"Kcnj12"
"ENSMUSG00000042532",2081.97234550549,1860.04754672939,2541.77452892088,2633.68075214697,3289.25020440021,2820.44410554698,2547.90656175466,2334.12140435417,"Golga7b"
