"","log2FoldChange","pvalue","padj","BCH_309","BCH_313","BCH_314","BCH_317","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000026024",-0.0208019287058368,0.885631314701246,0.978490291314333,738.397930077591,798.674444235464,648.116297260451,956.048346711831,860.190246618778,674.3602012115,773.17503552594,787.42987585179,"Als2"
"ENSMUSG00000026027",-0.285101493810014,0.0343261334352133,0.763525537704038,439.940584913362,526.2788556386,481.561271148827,484.087904941825,339.18865406445,372.246831068748,460.08482242897,413.560731544924,"Stradb"
"ENSMUSG00000026028",-0.202991805851427,0.26310332300979,0.836374325490437,2498.16026973104,2713.37741650856,2615.09494802436,2181.93274899666,1447.66108550274,2005.81698248349,2607.70097911005,2635.00924309428,"Trak2"
"ENSMUSG00000026029",-0.0628713013559421,0.828624050703734,0.97024182838495,27.8835581987342,36.1431039885806,42.5439468872084,30.3186579295507,34.2121120814287,36.6851949459056,33.2191207529942,26.8878494193294,"Casp8"
"ENSMUSG00000026031",-0.277240162496776,0.123658322524562,0.811188251474495,247.853850655415,268.869432110173,242.591016293018,189.996923025184,150.533293158286,185.583927373405,221.737631026236,226.626159391491,"Cflar"
"ENSMUSG00000026032",0.174675069596499,0.233090264711192,0.830858148586418,1063.70610906282,978.508425056694,1240.11079224416,1425.98754461987,1527.81517666494,1360.58914196432,1247.37798427493,1176.66350554113,"Ndufb3"
"ENSMUSG00000026034",-0.027934361341833,0.88945307981457,0.979490424902289,1792.80951974084,2294.64633371403,1636.58416961857,1209.71445138907,1259.00572459658,1606.59574336628,2010.58728357498,1925.68216793673,"Clk1"
"ENSMUSG00000026035",0.2126290444516,0.141906172462672,0.811188251474495,172.46497108106,221.266319539847,228.107970544181,219.30495902375,240.462273486613,225.506051285126,249.143405647457,261.196251502057,"Ppil3"
"ENSMUSG00000026036",0.0844895520366577,0.458606413409201,0.886333952170056,310.850037697,308.538692585444,341.256765456969,338.558346879982,345.053587564124,356.062186239672,333.852163567592,343.140173541918,"Nif3l1"
"ENSMUSG00000026037",0.0400541705791369,0.804605543542873,0.963729415405746,364.551705339007,467.21573448653,429.965420668595,370.898248671503,341.143631897675,373.325807390686,455.932432334846,510.869138967259,"Orc2"
"ENSMUSG00000026042",0.16461166413593,0.552152870865212,0.911060416987732,85.7161233516645,55.5369646653799,52.5010408395337,40.4248772394009,72.3341798293064,51.7908634530432,58.1334613177399,80.6635482579882,"Col5a2"
"ENSMUSG00000026043",-0.0679252379691468,0.817611735244565,0.967616563725534,43.3744238646977,59.0631211520707,47.0698986837199,68.7222913069815,34.2121120814287,75.528342535688,54.8115492424405,43.5327085836762,"Col3a1"
"ENSMUSG00000026047",-0.333896965847284,0.156482803074833,0.811188251474495,147.679586015518,156.032424536067,93.2346070081375,83.8816202717568,86.0190246618778,98.1868452963944,101.318318296632,96.0280336404622,"Poglut2"
"ENSMUSG00000026048",0.0775254992474392,0.51060111439786,0.90087992684809,421.351546114206,384.351057049296,395.568187015108,412.333747841889,438.892523558899,373.325807390686,426.035223657151,464.775682819837,"Ercc5"
"ENSMUSG00000026049",0.042195387464414,0.845539878388636,0.973833271886283,67.1270845525083,53.7738864220345,66.0788962290683,63.6691816520564,69.4017130794696,62.5806266724272,70.5906316001127,53.7756988386588,"Tex30"
"ENSMUSG00000026051",0.360669080393439,0.15189569198921,0.811188251474495,78.4870527075482,67.8785123687977,89.6138455709283,67.7116693759965,134.89347049249,110.055584837717,70.5906316001127,74.2616793486241,"Ecrg4"
"ENSMUSG00000026058",0.0300454771364194,0.867477183621423,0.976406312359561,199.315804902063,138.401642102613,137.58893461395,134.412716821008,152.488270991511,142.424874495869,156.960345557898,170.289712989086,"Khdrbs2"
"ENSMUSG00000026062",-0.157450090235783,0.392533848221142,0.868813724414256,143.548688504595,163.966276631122,142.114886410462,158.667643164648,146.623337491837,158.609519324945,142.01174121905,96.0280336404622,"Slc9a2"
"ENSMUSG00000026064",0.106407962972238,0.858548794969505,0.975927009920097,11.3599681550399,11.4600085817451,9.05190359302306,6.06373158591013,1.9549778332245,15.1056685071376,12.4571702823728,11.5233640368555,"Ptp4a1"
"ENSMUSG00000026065",-0.204105108676816,0.589835706984344,0.918459380247241,33.0471800873887,53.7738864220345,36.2076143720922,20.2124386197004,19.549778332245,38.8431475897824,24.0838625459208,43.5327085836762,"Slc9a4"
"ENSMUSG00000026072",-0.304789402922851,0.417958747947899,0.876500699395115,47.5053213756213,96.087764262324,58.8373733546499,78.8285106168317,19.549778332245,55.0277924188584,78.0649337695364,75.5420531304969,"Il1r1"
"ENSMUSG00000026074",-0.223057653859577,0.0121428134046014,0.749791155603574,2302.9753623399,2451.56029737177,2176.07762376274,2212.25140692621,1980.39254505641,1857.99722637793,1926.70900367366,2070.36440528836,"Map4k4"
"ENSMUSG00000026077",-0.151811308960231,0.27140821106011,0.838914793232317,609.307382861229,550.080411923763,603.761969654638,544.725220800927,408.59036714392,563.225640051845,583.826047233873,521.112129222241,"Npas2"
"ENSMUSG00000026078",0.0128504269657392,0.9394568649998,0.988665171307781,518.42763762091,569.474272600563,410.956423123247,424.461211013709,573.78599405139,508.197847632986,371.22367441471,489.102784675421,"Pdcl3"
"ENSMUSG00000026080",0.0647581964114089,0.509686948688571,0.900869253156617,1080.22969910652,1109.85775418593,1126.96199733137,1270.35176724817,1223.81612359853,1125.37230378175,1206.68456135252,1241.96256841664,"Chst10"
"ENSMUSG00000026082",0.0343604687866173,0.871135913804162,0.97673315573066,306.719140186076,370.246431102533,238.970254855809,231.43242219557,217.002539487919,267.586127840723,304.785432908722,387.953255907467,"Rev1"
"ENSMUSG00000026083",-0.00581403633420834,0.97484768482835,0.995099272089586,2755.30863978603,2818.28057198761,3055.92265300458,3673.61071913055,4359.60056809063,2776.2060763475,2466.51971590982,2650.37372847676,"Eif5b"
"ENSMUSG00000026087",0.211934849742919,0.156936613848084,0.811188251474495,567.998407751993,564.185037870526,631.82287079301,763.019557893692,837.708001536697,776.862951795648,711.719662132901,597.934556134611,"Mrpl30"
"ENSMUSG00000026088",0.179096693290209,0.331881916027384,0.856884018528488,89.847020862588,90.7985295322878,80.5619419779052,86.9134860647119,86.0190246618778,97.107868974456,97.1659282025081,115.233640368555,"Mitd1"
"ENSMUSG00000026090",-0.0266878508779788,0.777764588577589,0.960126371523145,4483.05652372982,4321.30477443956,4949.58088466501,4917.68631617312,4546.30095116357,4890.99966734677,4665.62550975804,4223.95310639846,"Cracdl"
"ENSMUSG00000026094",-0.231650345433942,0.343338102214175,0.857851809832914,98.1088158844352,121.652398790832,143.925267129067,126.327741373128,147.600826408449,72.2914135698728,83.0478018824856,115.233640368555,"Stk17b"
"ENSMUSG00000026095",-0.0262588100275932,0.921884779173645,0.986291042957198,50.603494508814,76.6939035855247,85.0878937744168,117.232143994263,94.8164249113881,82.0022004673184,85.5392359389601,60.177567748023,"Asnsd1"
"ENSMUSG00000026096",0.000939564635409427,0.997155429859907,0.999714425830463,72.2907064411628,83.7462165589063,87.8034648523237,46.488608825311,50.8294236638369,84.1601531111952,71.4211096189376,85.7850433854795,"Osgepl1"
"ENSMUSG00000026097",0.239073592965305,0.367661293336677,0.861611752452856,114.63240592813,111.07392933076,85.9930841337191,46.488608825311,110.456247577184,97.107868974456,94.6744941460335,121.635509277919,"Ormdl1"
"ENSMUSG00000026098",0.00919400018950281,0.969412633272175,0.994762303961225,71.2579820634319,64.3523558821069,57.9321829953476,54.5735842731912,82.1090689954288,50.7118871311048,63.116329430689,52.495325056786,"Pms1"
"ENSMUSG00000026102",0.0269982676117585,0.820406142840293,0.968411598197056,547.343920197375,638.234324091033,497.854697616268,525.523404112211,598.223216966696,557.830758442153,539.810712236156,555.682221332808,"Inpp1"
"ENSMUSG00000026103",-0.130643861586621,0.382748345103446,0.867549755920395,4374.62046406808,4385.65713032167,4248.05835620572,4020.25404145842,2830.80790250907,3747.28476609206,4374.95820316934,4602.94374583282,"Gls"
"ENSMUSG00000026104",-0.00848590791568363,0.956255461735669,0.993142963514616,271.606511343226,345.563335695697,284.229772820924,290.048494192701,335.278698398001,234.137861860633,300.633042814598,314.971950340716,"Stat1"
"ENSMUSG00000026107",0.0239149733150227,0.915333947417391,0.98531265072469,176.595868591983,156.032424536067,141.20969605116,119.253387856233,104.591314077511,129.477158632608,199.314724517965,169.009339207213,"Nabp1"
